id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4890953007236742,MCa6oumBE,7817794044,无细胞分子克隆,是萌萌怎么了，萌萌多可爱，能吸引我这种二次元萌萌变成追星狗说明你是真出圈了好伐#老年人追星时有多可爱#,,,,老年人追星时有多可爱,0,1,0,2023-04-16 00:52,Note 9 Pro 一亿像素,,,,浙江,普通用户
4890195256678138,MBQods1hU,2905611201,八个月儿_,#老年人追星时有多可爱##seventeen回归#,,,,"老年人追星时有多可爱,seventeen回归",0,2,0,2023-04-13 22:41,iPhone 13 Pro,"https://wx4.sinaimg.cn/large/ad301bc1gy1hcyg9t2pinj20wi1ycu0x.jpg,https://wx1.sinaimg.cn/large/ad301bc1gy1hcyg9qi5fnj20wi1yc7sz.jpg",,,湖南,普通用户
4463216711454469,Iqwyr66nb,1742566624,思想聚焦,#70岁奶奶追星#追星女孩不分年龄超市偶遇一对老夫妇，老奶奶是肖战粉丝，捡到肖战红包后开心不已，简直是追星女孩本孩。站在一旁的老伴更是露出慈祥的笑容，你在闹，我在笑，这大概就是爱情最美的模样了吧！L思想聚焦的微博视频,,,,70岁奶奶追星,5818,2757,31557,2020-01-21 17:00,微博视频号,,"http://f.video.weibocdn.com/004xZahVlx07AkzU62A8010412006dNC0E010.mp4?label=mp4_hd&template=270x480.24.0&trans_finger=6038099a530779e853bb78b617dbd3ab&ori=0&ps=1BVp4ysnknHVZu&Expires=1726746632&ssig=Pc%2B03b0QNX&KID=unistore,video",,,
4823730750754462,M9Xlp3agK,6043269239,暖暖微光happyday,//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-12 12:54,Android,,,4463216711454469,上海,普通用户
4823705089480366,M9WG0DMh8,7276443577,要找快乐,//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-12 11:12,荣耀30 5G,,,4463216711454469,山东,普通用户
4823573585461616,M9TfUmUOA,7305003708,---斎祀---,//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-12 02:30,nova5Pro人像超级夜景,,,4463216711454469,江苏,普通用户
4823542950528460,M9Ssv2dty,6597537919,小赞summer1005,//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-12 00:28,肖战顺顺利利,,,4463216711454469,广东,普通用户
4823533518325143,M9SdhyVKv,5760375460,偏偏十七,老奶奶有一颗年轻的心，希望几十年后的我也能有这样的心态！话说我也很喜欢肖战//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-11 23:51,肖战顺顺利利,,,4463216711454469,重庆,普通用户
4823512872654610,M9RFZb8Ai,5331088043,____霏雨君兮卿衫隐,好可爱//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-11 22:29,iPad air,,,4463216711454469,浙江,普通用户
4823506292573953,M9RvnaNBn,6009272372,我家豆米要来啦,是三十年后的我//@浓墨栖:我的养老生活微博回忆//@浓墨栖:#老年人追星时有多可爱#在这里,,,浓墨栖,老年人追星时有多可爱,0,0,31557,2022-10-11 22:02,OPPO K9 Pro 5G,,,4463216711454469,湖北,普通用户
