id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4322238117268650,H9kvVuuUi,5303763200,张江夕阳红,@今日张江@张江镇社区建设和服务办公室#老龄动态#今天下午，张江镇为老服务机构社会组织工作座谈会在我镇社区事务受理服务中心召开，副镇长潘艳萍主持会议，社建办主任、民政负责人、社区事务中心主任、老龄办工作人员以及5家社会组织负责人参加会议。会上，各家社会组织就2018年的工作及2019年工作设想进行了汇报、沟通。,,,"今日张江,张江镇社区建设和服务办公室",老龄动态,1,1,1,2018-12-28 16:22,微博 weibo.com,"https://wx1.sinaimg.cn/large/005MW35Kgy1fymjadp7bej31400u0ti1.jpg,https://wx1.sinaimg.cn/large/005MW35Kgy1fymjag3zwmj31400u0thi.jpg",,,,普通用户
4315695061319822,H6AiC5xls,5303763200,张江夕阳红,@今日张江@张江镇社区建设和服务办公室#老龄动态#今天，新区老年协会对张江镇三家敬老院（孙桥养老院、顺和养老院、光启养老院）的入住老人、老人家属、内部员工进行了满意度调查。调查过程中，入住老人、老人家属、内部员工普遍对三家敬老院表示很满意。,,,"今日张江,张江镇社区建设和服务办公室",老龄动态,0,1,0,2018-12-10 15:02,微博 weibo.com,"https://wx3.sinaimg.cn/large/005MW35Kgy1fy1nkx4zkij31400u07bw.jpg,https://wx2.sinaimg.cn/large/005MW35Kgy1fy1nlt3qwqj31400u0qax.jpg,https://wx2.sinaimg.cn/large/005MW35Kgy1fy1nlvrm33j31400u0af0.jpg,https://wx3.sinaimg.cn/large/005MW35Kgy1fy1nm0e2wkj31400u0791.jpg,https://wx4.sinaimg.cn/large/005MW35Kgy1fy1nm3t86cj31400u0wku.jpg,https://wx3.sinaimg.cn/large/005MW35Kgy1fy1nm8ep3ej31400u079x.jpg",,,,普通用户
4310927136803532,H4AgpsxUo,2854030354,今日张江,#老龄动态#11月26日，浦东新区第十届“群联张江杯”街镇象棋俱乐部团体赛在镇老年综合服务中心举行。赛事由张江镇人民政府、新区老年体育协会主办，8个街镇的48名中国象棋爱好者，在楚河汉界上短兵相接。最后，三林镇、张江镇、东明街道象棋俱乐部夺得前三名。,,,,老龄动态,10,0,3,2018-11-27 11:16,小米手机5,"https://wx3.sinaimg.cn/large/aa1d0c12gy1fxmg7f8cmpj20cy09zjs0.jpg,https://wx3.sinaimg.cn/large/aa1d0c12gy1fxmg7fexy8j20by0awdgg.jpg",,,,蓝V
4310912158293927,H4zSfyND1,5303763200,张江夕阳红,@今日张江@张江镇社区建设和服务办公室#老龄动态#浦东新区第十届“群联张江”街镇象棋俱乐部团体赛昨天（11月26日）在我镇老年综合服务中心举行。此次象棋团体赛，由张江镇政府、新区老年体育协会主办，张江镇文化服务中心、张江镇老年协会承办，张江镇玉兰香苑文体协会等三个单位协办。8个街镇的48名中国象棋高手，在楚河汉界上短兵相接。最后，三林镇、张江镇、东明街道象棋俱乐部夺得前三名。,,,"今日张江,张江镇社区建设和服务办公室",老龄动态,0,1,0,2018-11-27 10:16,微博 weibo.com,"https://wx1.sinaimg.cn/large/005MW35Kgy1fxmej2nwgqj30cy09z0yw.jpg,https://wx3.sinaimg.cn/large/005MW35Kgy1fxmej4vzywj30by0aw44t.jpg",,,,普通用户
4243590869202995,GihZQCC7p,5303763200,张江夕阳红,@今日张江@张江镇社区建设和服务办公室#老龄动态#今天下午1:00，2018年九九关爱街镇专场演出——“健康快乐行”综合性滑稽说唱专场演出在张江镇江丰剧场举行，上海徐世利喜剧艺术团的精彩演出吸引了周边居委的老年朋友们冒着大雨前来观看，场内高朋满座，观众热情高涨，掌声阵阵，老戏骨们高水准的表演，给大家带来了一场艺术盛宴。,,,"今日张江,张江镇社区建设和服务办公室",老龄动态,1,0,1,2018-05-25 15:46,微博 weibo.com,"https://wx1.sinaimg.cn/large/005MW35Kgy1frnmqdhhgfj31250y6gpa.jpg,https://wx2.sinaimg.cn/large/005MW35Kgy1frnmqfbefdj31ec0v60xo.jpg,https://wx2.sinaimg.cn/large/005MW35Kgy1frnmqh9cc1j31ec11rjv4.jpg,https://wx1.sinaimg.cn/large/005MW35Kgy1frnmqjfgtfj31ec11rdjo.jpg,https://wx4.sinaimg.cn/large/005MW35Kgy1frnmqo1dhtj31ec11rae4.jpg,https://wx4.sinaimg.cn/large/005MW35Kgy1frnmqs7dhej30jt0dpgnm.jpg,https://wx1.sinaimg.cn/large/005MW35Kgy1frnmqvjnujj31ec11r780.jpg,https://wx2.sinaimg.cn/large/005MW35Kgy1frnmqza66vj31ec11rq7m.jpg,https://wx3.sinaimg.cn/large/005MW35Kgy1frnmr4326tj30m80gogpn.jpg",,,,普通用户
4228346621688205,GbTqm75b7,2073764027,马桥老娘舅,发布了头条文章：#娘舅普法#120《孙子女对祖父母有赡养义务吗》#实用法律小知识#《婚姻法》第28条规定，有负担能力的孙子女、外孙子女，对于子女已经死亡或者子女无力赡养的祖父母、外祖父母有赡养义务。快来看看@马桥老娘舅为您介绍。O孙子女对祖父母有赡养义务吗,http://t.cn/RmC4P6N,,马桥老娘舅,"娘舅普法,实用法律小知识",57,23,17,2018-04-13 14:10,实用法律小知识超话,,,,,
4228356003896717,GbTFuglIh,3290121137,maomaoyu_67232,#老龄动态##舞动老龄#//@马桥老娘舅:#娘舅普法#，从身边的事儿说起，共同来学法、知法、懂法、用法、守法。非“常有用”，但“非常有”用！“普法365”。一周一话题，本周关注#实用法律小知识#赡养的法律问题。,,,马桥老娘舅,"老龄动态,舞动老龄,娘舅普法,实用法律小知识",0,2,17,2018-04-13 14:48,三星android智能手机,,,4228346621688205,,普通用户
4144225715357763,FiyvNmtNx,6177886861,护明德居家养老,今年养老金又有了新变化，猜猜看是什么新变化吧？O网页链接#养老保险##老龄动态##中国养老那些事儿##深圳身边事#,,,,"养老保险,老龄动态,中国养老那些事儿,深圳身边事",0,0,0,2017-08-24 11:04,专业版微博,https://wx3.sinaimg.cn/large/006K5MAtgy1fiumut8tclj31fw0t64iu.jpg,,,,普通用户
4105517603460952,F2jxmewlO,3971929141,惠之孝国际养老产业研究院,#老龄动态##养老服务##博览会#【2017中国（北京）国际康复辅助器具博览会】2017康博会同期举办首届老年居家科技服务成果展，引入老龄产业元素，促进康复辅助科技和老龄产业的深度融合，更好的引导广大科技生产和服务企业进行转型升级，激发活力，持续创新。值此2017年康博会召开之际，现诚邀您参加康博会及其同期活动，共享康复辅助器具产业发展成果。O网页链接,,,,"老龄动态,养老服务,博览会",0,0,0,2017-05-09 15:32,微博 weibo.com,https://wx4.sinaimg.cn/large/ecbed435ly1fff5algxm4j20tr086ab2.jpg,,,,普通用户
4091728555819703,ECuhhopYb,3971929141,惠之孝国际养老产业研究院,"#智慧养老##新华养老##养老服务##老龄动态#【【重磅活动邀约】联合国第八届老龄大会暨养老产业峰会即将在美举行】2017年7月5-7日,联合国将在美国纽约总部举行“联合国第八届老龄大会”，为中国投身于养老产业的组织、企业、社会人士等提供了一个难得的契机，学习世界各国如何保障老年人的权益，发展养老产业的先进理念和保障措施等,掌握并充分利用世界最前沿的养老产业相关政策、信息和服务，为投身于中国养老产业发展引进新的思想并寻找新的出路。O【重磅活动邀约】联合国第八届老龄大会暨养老产业峰会即将在美举行",,,,"智慧养老,新华养老,养老服务,老龄动态",0,0,0,2017-04-01 14:19,养老服务超话,https://wx1.sinaimg.cn/large/ecbed435ly1fe75n4wnefj20j80cudv5.jpg,,,,普通用户
