id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4903086764068397,N1iiEh4nj,6687136433,懵奇奇妞,#被误认为工作人员女子发飙殴打老人#钱来得轻松，被家人周围惯坏了，高傲过了头。自以为有钱，其他人都不是人了。,,,,被误认为工作人员女子发飙殴打老人,0,0,0,2023-05-19 12:27,iPhone客户端,,,,,普通用户
4902844622441140,N1c06af3e,7613695859,共富视频,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,0,0,1,2023-05-18 20:25,iPhone客户端,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902844517318976,N1bZVuI00,7613700701,共富财经,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,1,0,2,2023-05-18 20:24,iPhone客户端,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902834509714013,N1bJMEL3D,7312182819,用户7312182819,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,0,1,0,2023-05-18 19:45,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902825362460654,N1bv2ak7Y,5293492867,微观往事,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。L橘子新闻的微博视频微评：这女人过于蛮横，虽然后来被超市工作人员集体围殴，但带她去拘留所住上几天应该完全够格。相信当地公安看了视频，应该会主动作为。,,,,被误认为工作人员女子发飙殴打老人,0,0,2,2023-05-18 19:08,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,黄V
4902823189546912,N1brwE3As,1974561081,网易财经,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,1,3,5,2023-05-18 19:00,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902822606537552,N1bqArqIo,5208603396,板扎零距离,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,0,0,2,2023-05-18 18:57,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902822602084941,N1bqA8Ko5,3468466672,板扎视频,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,0,0,1,2023-05-18 18:57,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985728&ssig=yb6LM8gI44&KID=unistore,video",,,蓝V
4902812176356281,N1b9LqFyF,6418480627,星视频,【#生鲜店长回应女子打70岁老人#，多位店员拉架也被打，疑有精神问题】#被误认为工作人员女子发飙殴打老人#近日，吉林延吉。北大亿品生鲜内一位老太太碰到一位女子，随后两人起冲突老人被打。店内多位员工上前拉架也遭黑衣女子伤害。网传消息称：女子嚣张喊话：我有的是钱。5月18日，该店店长邢女士回应称：事发5月12日，打人女子大概40岁左右。老人年纪较大估计有70岁，女子捡了一块骨头打人。一位店员头被打破，缝了6针今天刚拆线。事情发生后店内立即到了110和120，目前已经做了笔录，还在进一步处理中。L星视频的微博视频,,,,"生鲜店长回应女子打70岁老人,被误认为工作人员女子发飙殴打老人",1,0,9,2023-05-18 18:16,微博视频号,,"http://f.video.weibocdn.com/o0/nre6u2wblx085xprad6M01041200pqi40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985730&ssig=FTHQr5ir3r&KID=unistore,video",,,蓝V
4902808090840300,N1b3b3wBe,2816167560,重庆广电第1眼,【#被误认为工作人员女子发飙殴打老人#】5月17日，吉林延吉市民曝光：某菜市场内，女子因为被老人误认为是工作人员向其询问搭话，于是发飙并且殴打老人，知情人：女子叫嚣着“有的是钱”。（来源：杭州日报） L橘子新闻的微博视频,,,,被误认为工作人员女子发飙殴打老人,0,0,5,2023-05-18 18:00,微博视频号,,"http://f.video.weibocdn.com/u0/5CI95zawgx085xgVN2o001041200cnDr0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985730&ssig=Yeh%2F10%2FrpQ&KID=unistore,video",,,蓝V
