id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4960437423573722,NpmfIeZGG,2426817664,海宁公安,//@嘉兴公安:#平安护航亚运#【#诈骗团伙专骗老年人民警当街抓获#】,,,嘉兴公安,"平安护航亚运,诈骗团伙专骗老年人民警当街抓获",0,0,0,2023-10-24 18:38,iPhone客户端,,,,,蓝V
4960337159261268,NpjDZCRhi,5601614404,中国移动内蒙古公司,#小移防诈#【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。@警民携手同行L云南警方的微博视频,,,警民携手同行,"小移防诈,诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",0,0,0,2023-10-24 12:00,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4959309891109185,NoSV74Ey5,2055648745,平安郑州,【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。L云南警方的微博视频,,,,"诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",1,1,0,2023-10-21 15:58,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4958923304208868,NoIRAhEUY,2185134700,慈溪公安,#平安护航亚运#【#诈骗团伙专骗老年人民警当街抓获#】,,,,"平安护航亚运,诈骗团伙专骗老年人民警当街抓获",0,0,0,2023-10-20 14:21,微博网页版,,,,,蓝V
4958894841661030,NoI7G6Y6O,2415376982,长兴公安,//@平安湖州:#平安护航亚运#【#诈骗团伙专骗老年人民警当街抓获#】,,,平安湖州,"平安护航亚运,诈骗团伙专骗老年人民警当街抓获",0,0,0,2023-10-20 12:28,OPPO Reno6 Pro+ 5G,,,,,蓝V
4958871154067785,NoHvth4dr,3848311310,昆明禄劝发布,【#诈骗团伙专骗老年人民警当街抓获#】近日，云南省楚雄彝族自治州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。（云南省公安厅）L云南警方的微博视频,,,,诈骗团伙专骗老年人民警当街抓获,0,0,0,2023-10-20 10:54,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4958852405267008,NoH1em6bK,5617894057,宁波网警,#女网警说#【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。L云南警方的微博视频,,,,"女网警说,诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",2,2,0,2023-10-20 09:40,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4958851747808424,NoH0awLkk,5617894057,宁波网警,【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。@云南警方L云南警方的微博视频,,,云南警方,"诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",0,0,0,2023-10-20 09:37,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4958846077109192,NoGR1tPqo,2478590801,嵊州警方,#女网警说#【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。@云南警方L云南警方的微博视频,,,云南警方,"女网警说,诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",0,1,0,2023-10-20 09:14,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978370&ssig=zDR%2BWkrvNO&KID=unistore,video",,,蓝V
4958828687527717,NoGoYvAiN,2729830305,龙警微博,【#诈骗团伙专骗老年人民警当街抓获#】#全民反诈防骗季#近日，云南省楚雄州楚雄市公安局高新区派出所民警当街抓获一个“刮刮卡”诈骗团伙，团伙成员4人，现场查获劣质“磁疗”手表8块，“刮刮卡”300余张。该团伙专门针对老年人实施诈骗，目前，该案正在进一步侦办中。L云南警方的微博视频,,,,"诈骗团伙专骗老年人民警当街抓获,全民反诈防骗季",0,0,0,2023-10-20 08:05,微博视频号,,"http://f.video.weibocdn.com/o0/A6QOsj5alx089te0cxm0010412009dkk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978371&ssig=yTgr4x7PbZ&KID=unistore,video",,,蓝V
