id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4931365025352723,Nd9WKmsuf,3815077818,澄城检察,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。L奎文检察的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,11,0,16,2023-08-05 13:15,微博视频号,,"http://f.video.weibocdn.com/o0/4SJLip1Mlx085gSfanl601041200r1zb0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=iDO7lrr2Wz&KID=unistore,video",,,蓝V
4899135637686806,MFAYbwfGK,5876131361,陕西政法,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓L央视一套的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,24,8,9,2023-05-08 14:47,iPhone客户端,,"http://f.video.weibocdn.com/o0/0j1vc3BDlx085eojt8Tm01041200QxAC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=V3OZZYYAc9&KID=unistore,video",,,
4905309069379645,N2e70Dm4B,3964604458,西乡政法,【#诈骗团伙号称帮老年人把收藏品高价变现#】,,,,诈骗团伙号称帮老年人把收藏品高价变现,0,0,9,2023-05-25 15:38,微博网页版,,,4899135637686806,,蓝V
4902498545965242,N12ZUp1PA,1962688675,潍坊滨海公安,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓感谢关注潍坊滨海公安微博，守护您平安L央视一套的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,1,24,16,2023-05-17 21:30,微博视频号,,"http://f.video.weibocdn.com/o0/0j1vc3BDlx085eojt8Tm01041200QxAC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=V3OZZYYAc9&KID=unistore,video",,,
4902527248371881,N13Kcz7Ul,5154910158,阿拉善政法,【#诈骗团伙号称帮老年人把收藏品高价变现#】,,,,诈骗团伙号称帮老年人把收藏品高价变现,0,0,16,2023-05-17 23:24,荣耀X30 5G,,,4902498545965242,,蓝V
4902314056091180,N0YclpyAQ,3149484594,九江网警,#五月九江网警提醒#【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓L央视一套的微博视频,,,,"五月九江网警提醒,诈骗团伙号称帮老年人把收藏品高价变现",0,0,0,2023-05-17 09:16,微博视频号,,"http://f.video.weibocdn.com/o0/0j1vc3BDlx085eojt8Tm01041200QxAC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=V3OZZYYAc9&KID=unistore,video",,,蓝V
4902308583051510,N0Y3wcNPU,3270139273,修正颈腰康胶囊,"【#传销#有了新“外衣”！警方最新提醒】多个违法犯罪团伙通过搭建网络平台销售所谓""收藏品""，并通过招募会员，循环售卖炒至高价，造成""底层会员""承担高额损失，已有48个团伙被打掉。#诈骗团伙号称帮老年人把收藏品高价变现#O网页链接",,,,"传销,诈骗团伙号称帮老年人把收藏品高价变现",0,0,0,2023-05-17 08:55,微博网页版,https://wx1.sinaimg.cn/large/c2ea5d89ly1he13h4kko8j20dw08c3yj.jpg,,,,普通用户
4901627888142916,N0GlCyalm,5257523581,吐鲁番网警,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓临沂网警巡查执法的微博视频L临沂网警巡查执法的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,0,0,0,2023-05-15 11:50,微博视频号,,"http://f.video.weibocdn.com/o0/oMoWU1Ttlx085k1madRe01041200geNs0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=TYy2D2RGVB&KID=unistore,video",,,蓝V
4901579951967150,N0F6j8fKe,5608008913,青岛网警,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓L临沂网警巡查执法的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,0,0,0,2023-05-15 08:39,微博视频号,,"http://f.video.weibocdn.com/o0/oMoWU1Ttlx085k1madRe01041200geNs0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=TYy2D2RGVB&KID=unistore,video",,,蓝V
4901459647007968,N0BYgtp5K,3375311402,抚顺网警,【#诈骗团伙号称帮老年人把收藏品高价变现#】日前，北京市海淀区人民法院审理了一起专门针对老年人实施诈骗的犯罪案件。被告人通过虚构字画等收藏品的价值，骗取老人们的积蓄，损失最大的一位老人被骗了260多万元。检察官介绍，为了赢得老年人的信任，诈骗人员首先打的是感情牌，第二步就是利用老人想有更多钱来保障养老的心理，鼓吹公司的收藏品有巨大升值空间。详戳↓L临沂网警巡查执法的微博视频,,,,诈骗团伙号称帮老年人把收藏品高价变现,0,0,0,2023-05-15 00:41,微博视频号,,"http://f.video.weibocdn.com/o0/oMoWU1Ttlx085k1madRe01041200geNs0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978746&ssig=TYy2D2RGVB&KID=unistore,video",,,蓝V
