id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4708180053985911,L3qNDgIUT,1630847835,自律打卡刘甜甜,搞笑超话#该如何正确和老年人沟通#学会倾听，积极关注老人语言背后的心声，听懂他、理解他，让老人感受到被尊重、被关注、被理解，这样便于沟通的深入！,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 16:17,搞笑超话,,,,,普通用户
4708176052880724,L3qHbc5pi,3166472953,烛心话,#该如何正确和老年人沟通#和老人沟通时，注意自己的内部姿态，不是为了帮助他，站在我强对方弱的立场，而是将自己和老人平等的，坐在一起的，二者是一体的，是完全能接纳老人的，这样容易让老人依赖自己，从而也能真心地回应，沟通就会非常顺利！,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 16:01,烛心话超话,,,,,红V
4708162642382317,L3qly9ZKt,7480790580,满满红玫瑰,#该如何正确和老年人沟通#要真诚对待老人多陪伴,,惠州,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:08,OPPO R9s,,,,,普通用户
4708162441578243,L3qle6Czx,7722696263,夏天是你的温暖,#该如何正确和老年人沟通#多陪伴老人，多用心真诚和老人聊天,,临汾,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,vivo X27 4800万三摄,,,,,普通用户
4708162349302467,L3ql4D1ZN,6392039799,欢2746,#该如何正确和老年人沟通#不要难为老人,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,华为手机,,,,,普通用户
4708162315488307,L3ql1n1L5,5353088888,蘑菇大人-1,#该如何正确和老年人沟通#又涨知识啊，学会了,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,vivo S7轻薄自拍旗舰,,,,,黄V
4708162312342036,L3ql19PgM,3072551630,未来可期加油A,#该如何正确和老年人沟通#多一点时间理解,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,nova7Pro你在焦点在,,,,,普通用户
4708162295041630,L3qkZl9yC,7480790580,满满红玫瑰,#该如何正确和老年人沟通#这真是太真实的，老人家真是也要辛人的陪伴,,惠州,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,OPPO R9s,,,,,普通用户
4708162291369090,L3qkZ5Ka6,5450097074,可爱的猪猪瑾瑾,#该如何正确和老年人沟通#不要动不动就驳斥老人的观点,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,荣耀20i,,,,,黄V
4708162286653026,L3qkYrUKS,7586712901,窝妖边追剧边努力,#该如何正确和老年人沟通#一定要心平气和的谈,,忻州·原平,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,OPPO R9s,,,,,普通用户
4708162273282250,L3qkXdLRw,1634733012,兮兮仔软糖,#该如何正确和老年人沟通#要正确的沟通哦。,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:07,小米11,,,,,普通用户
4708162232386326,L3qkTa0N8,6348427495,香来而寒至,#该如何正确和老年人沟通#这个真的不容易，要假以时日,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,Redmi 9A,,,,,普通用户
4708162122286570,L3qkI9AQa,3701436420,折耳猫与狸,#该如何正确和老年人沟通#又怎么沟通呢？,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,HUAWEI P40 5G,,,,,普通用户
4708162114686404,L3qkHjF9a,5630529844,抹茶星球见,#该如何正确和老年人沟通#要真诚对待呀,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,小米10S,,,,,普通用户
4708162110488815,L3qkH23a7,2263780711,冰激凌吃多了的夏天,#该如何正确和老年人沟通#主要还是得顺着,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,iPhone客户端,,,,,普通用户
4708162109966365,L3qkGFOHP,7473202855,七ye天浅蓝,#该如何正确和老年人沟通#多关心老年人,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,荣耀20 PRO,,,,,普通用户
4708162097123005,L3qkFtT1b,3771764402,达人微博秀,#该如何正确和老年人沟通#多跟他们谈心,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,HUAWEI Mate 10,,,,,普通用户
4708162093190791,L3qkFdo4n,6682226705,精品的人生,#该如何正确和老年人沟通#理解老人的感受,,绥化,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,vivo Y7s 屏幕指纹,,,,,普通用户
4708162088732338,L3qkEADGa,2252849953,头痛的下雨天,#该如何正确和老年人沟通#多听听吧,,忻州·原平,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:06,iPhone客户端,,,,,普通用户
4708161993574924,L3qkvf004,6446041119,我是全地球最帅的男人,#该如何正确和老年人沟通#,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,OPPO Reno5 Pro 5G,,,,,普通用户
4708161963950836,L3qksgzNa,6021418609,一半清醒一半醉M,#该如何正确和老年人沟通#慢慢聆听不反驳,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,vivo X27,,,,,普通用户
4708161963429015,L3qkseo2H,6624677469,32号想娶谁,#该如何正确和老年人沟通#难我觉得无法沟通,,赤峰,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,,,,,,普通用户
4708161959496275,L3qkrDQpJ,6445345820,甜心宝贝小胖子天使,#该如何正确和老年人沟通#沟通最重要,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,华为畅享20 Pro,,,,,普通用户
4708161951368103,L3qkr5JUb,6371909768,冬天的雪6371909768,#该如何正确和老年人沟通#多坐下来听听父母的唠叨很幸福,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,nova 9 精彩由我摄定,,,,,普通用户
4708161933541916,L3qkpeRpG,6083102695,y赵艳艳,#该如何正确和老年人沟通#要有耐心点,,安阳·内黄,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,华为畅享5G,,,,,普通用户
4708161934330892,L3qkpiaF6,6443606762,美食番茄酱,#该如何正确和老年人沟通#用心去沟通，有时间多陪陪他们,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,OPPO Reno,,,,,普通用户
4708161930134663,L3qkp0z1Z,2901874722,长理益阳电力行,#该如何正确和老年人沟通#老年人就跟小孩一样可有意思了,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,荣耀50 Pro 5G,,,,,普通用户
4708161908375993,L3qkmz8YF,6316113285,小玄歌i,#该如何正确和老年人沟通#关爱老年人多关心关心,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iQOO Neo3 生而为赢,,,,,普通用户
4708161887666689,L3qkkwash,6077708947,布丁小姐姐丫,#该如何正确和老年人沟通#哄着吧，毕竟很多事讲不通,,襄阳,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,Android,,,,,普通用户
4708161880329923,L3qkk1nPl,6270611608,郗浊清酒,#该如何正确和老年人沟通#反正我是用吹水的方式,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iPhone XR,,,,,普通用户
4708161879540978,L3qkjE22K,6543351468,Fenghe婷-,#该如何正确和老年人沟通#温柔耐心和蔼亲切,,南阳·内乡,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iPhone 7 Plus,,,,,普通用户
4708161863553037,L3qkieUj3,5587910508,xxm大萌萌,#该如何正确和老年人沟通#这还是需要耐心的,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,HUAWEI P30 Pro,,,,,普通用户
4708161845725594,L3qkgo1ui,2135875387,婉儿00,#该如何正确和老年人沟通#好好说话呗,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,美图T9我的智能摄影师,,,,,普通用户
4708161832881344,L3qkfc5zi,3759628394,五市风景线,#该如何正确和老年人沟通#支持一下吧,,五大连池,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,OPPO A91,,,,,普通用户
4708161817150505,L3qkdu0aJ,7610666777,萝莉味软妹耶,#该如何正确和老年人沟通#这个挺好,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iQOO Neo5 生而为赢,,,,,黄V
4708161812693293,L3qkdbiEd,7578703286,小甜汝汝,#该如何正确和老年人沟通#要多陪伴倾听呀,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iPhone XR,,,,,普通用户
4708161809023572,L3qkcBRru,7549070012,小南瓜娱乐君,#该如何正确和老年人沟通#耐心一点必须,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,Redmi K30 5G先锋,,,,,普通用户
4708161803782665,L3qkcfS2J,2178898197,党的一份子,#该如何正确和老年人沟通#期待新的作品,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,小米10,,,,,普通用户
4708161800638200,L3qkc2G1y,3514741703,来一碗小仙女io,#该如何正确和老年人沟通#表达出自己的真诚和感谢。,,,,该如何正确和老年人沟通,0,0,0,2021-11-27 15:05,iPhone客户端,,,,,普通用户
