id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4487559931028341,IAJPH4jw9,2723682440,聚焦山西新闻,#关注山西新型肺炎疫情#【向山西医疗队敬礼这位感动全网的仙桃“敬礼老人”找到啦】黄老今年79岁，当过兵，是一位伞兵哦。在一次执行任务中，意外受伤“不送一下，心里过不去。人家为我们拼过命。就像我们上战场，是经历过生死的。”提起山西援仙医疗队，黄成华老人数次落泪。为他们点赞#轮椅老人起身敬礼送别援鄂医疗队#L仙桃日报的微博视频,,,,"关注山西新型肺炎疫情,轮椅老人起身敬礼送别援鄂医疗队",0,0,2,2020-03-28 21:12,iPhone客户端,,"http://f.video.weibocdn.com/JhvX03Nhlx07C3xgUxXy01041200jrDe0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=hDPwpw8UC%2F&KID=unistore,video",,,普通用户
4487544869760007,IAJroEX1t,3147142857,切磋熊,#谢谢你为湖北拼过单#【向山西医疗队敬礼这位感动全网的仙桃“敬礼老人”找到啦】黄老今年79岁，当过兵，是一位伞兵哦。在一次执行任务中，意外受伤“不送一下，心里过不去。人家为我们拼过命。就像我们上战场，是经历过生死的。”提起山西援仙医疗队，黄成华老人数次落泪。为他们点赞#轮椅老人起身敬礼送别援鄂医疗队#L仙桃日报的微博视频,,运城·运城师范高等专科学校,,"谢谢你为湖北拼过单,轮椅老人起身敬礼送别援鄂医疗队",4,7,26,2020-03-28 20:12,微博热搜Android,,"http://f.video.weibocdn.com/JhvX03Nhlx07C3xgUxXy01041200jrDe0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=hDPwpw8UC%2F&KID=unistore,video",,,普通用户
4487538100367617,IAJgu1xDj,6683128307,山西都市新闻,#关注山西新型肺炎疫情#【向山西医疗队敬礼这位感动全网的仙桃“敬礼老人”找到啦】黄老今年79岁，当过兵，是一位伞兵哦。在一次执行任务中，意外受伤“不送一下，心里过不去。人家为我们拼过命。就像我们上战场，是经历过生死的。”提起山西援仙医疗队，黄成华老人数次落泪。为他们点赞#轮椅老人起身敬礼送别援鄂医疗队#L仙桃日报的微博视频,,,,"关注山西新型肺炎疫情,轮椅老人起身敬礼送别援鄂医疗队",0,1,5,2020-03-28 19:45,山西超话,,"http://f.video.weibocdn.com/JhvX03Nhlx07C3xgUxXy01041200jrDe0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=hDPwpw8UC%2F&KID=unistore,video",,,普通用户
4487532739779734,IAJ7PF29E,2734387105,融媒山西,#直击山西疫情第一线#【向山西医疗队敬礼这位感动全网的仙桃“敬礼老人”找到啦】#轮椅老人起身敬礼送别援鄂医疗队#黄老今年79岁，当过兵，是一位伞兵哦。在一次执行任务中，意外受伤“不送一下，心里过不去。人家为我们拼过命。就像我们上战场，是经历过生死的。”提起山西援仙医疗队，黄成华老人数次落泪。为他们点赞#驰援武汉女护士表白朱婷#L仙桃日报的微博视频,,太原,,"直击山西疫情第一线,轮椅老人起身敬礼送别援鄂医疗队,驰援武汉女护士表白朱婷",0,2,6,2020-03-28 19:24,Android,,"http://f.video.weibocdn.com/JhvX03Nhlx07C3xgUxXy01041200jrDe0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=hDPwpw8UC%2F&KID=unistore,video",,,普通用户
4486491138508886,IAi1PzHy6,5617030362,中国长安网,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。安哥：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？@湖北政法L中国长安网的微博视频,,,湖北政法,轮椅老人起身敬礼送别援鄂医疗队,98,89,1066,2020-03-25 22:25,微博视频号,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=Ef1LVyRZ18&KID=unistore,video",,,
4486795549299312,IApWOD1aU,2321210495,太旗政法之声,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。,,,,轮椅老人起身敬礼送别援鄂医疗队,0,0,1066,2020-03-26 18:34,HUAWEI nova 2s,,,4486491138508886,,蓝V
4486759435549629,IAp0znhI9,6589825840,稀土高新长安网,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。,,,,轮椅老人起身敬礼送别援鄂医疗队,0,0,1066,2020-03-26 16:11,360安全浏览器,,,4486491138508886,,蓝V
4486752981434411,IAoQa619F,3547931345,渭南中院,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。安哥：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？@湖北政法L中国长安网的微博视频,,,湖北政法,轮椅老人起身敬礼送别援鄂医疗队,0,0,0,2020-03-26 15:45,微博视频号,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=Ef1LVyRZ18&KID=unistore,video",,,蓝V
4486752629010870,IAoPABO8C,5918973053,衡阳网警,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。蜀黍微语：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？春暖疫散，未来可期！#武汉的新冠肺炎重症治愈率越来越高#L中国长安网的微博视频,,,,"轮椅老人起身敬礼送别援鄂医疗队,武汉的新冠肺炎重症治愈率越来越高",0,0,5,2020-03-26 15:44,iPhone客户端,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003956&ssig=Ef1LVyRZ18&KID=unistore,video",,,蓝V
4486750036902175,IAoLpsXzp,5920802057,邵阳网警,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。蜀黍微语：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？春暖疫散，未来可期！#武汉的新冠肺炎重症治愈率越来越高#L中国长安网的微博视频,,,,"轮椅老人起身敬礼送别援鄂医疗队,武汉的新冠肺炎重症治愈率越来越高",0,1,2,2020-03-26 15:33,微博视频号,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003958&ssig=nAr6vkE6YY&KID=unistore,video",,,蓝V
4486749583114814,IAoKGd4iW,5921196226,怀化网警,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。蜀黍微语：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？春暖疫散，未来可期！#武汉的新冠肺炎重症治愈率越来越高##美国一养老院94人或全部感染#L中国长安网的微博视频,,,,"轮椅老人起身敬礼送别援鄂医疗队,武汉的新冠肺炎重症治愈率越来越高,美国一养老院94人或全部感染",7,3,12,2020-03-26 15:32,微博视频号,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003958&ssig=nAr6vkE6YY&KID=unistore,video",,,蓝V
4486696010010755,IAnmh02Nt,5976953564,南宁青秀检察,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。（中国长安网）L中国长安网的微博视频,,,,轮椅老人起身敬礼送别援鄂医疗队,0,0,0,2020-03-26 11:59,微博视频号,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003958&ssig=nAr6vkE6YY&KID=unistore,video",,,蓝V
4486678934900429,IAmUJkyPb,5637718210,甘肃林区检察,【感动！#轮椅老人起身敬礼送别援鄂医疗队#】近日，湖北仙桃市民自发走上街头为奋战近两个月的山西白衣战士们送行。在送别的队伍中，一位坐轮椅的老人格外引人注目。车队驶过的时候，他颤颤巍巍地站起来，左手拿手机录像，右手敬了一个军礼。安哥：看着老人左手装着记忆，右手满是致敬！这份恩情早已是刻在每一个人心尖上，谁舍得忘记？@湖北政法L中国长安网的微博视频L中国长安网的微博视频,,,湖北政法,轮椅老人起身敬礼送别援鄂医疗队,0,0,0,2020-03-26 10:51,iPhone客户端,,"http://f.video.weibocdn.com/KH1srxGhlx07BYZE5f1601041200h5wS0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003958&ssig=nAr6vkE6YY&KID=unistore,video",,,蓝V
