id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4965246169515324,NrnlKDVmY,1807907731,萌萌哒阿茶,公主👸请抽🧧‼️‼️🍑寳双.11🧧>>O网页链接京.东双.11🧧>>O网页链接,,,,,71,4,6,2023-11-07 01:06,成为小富婆iPhone客户端,https://wx3.sinaimg.cn/large/6bc27b93gy1hjlvr64p7pj21400u0amh.jpg,,,,
4965610128934185,NrwOMBubL,7846942606,白雪公主并不白,#北京的朋友急需棉裤护体##北京人立冬吃火锅有多讲究##近8成北京老年人居住在老破小#,,,,"北京的朋友急需棉裤护体,北京人立冬吃火锅有多讲究,近8成北京老年人居住在老破小",0,0,6,2023-11-08 01:12,OPPO A8,,,4965246169515324,福建,普通用户
4965597761506375,NrwuQ6jSn,3188624293,旧园海棠枝绯白,#近8成北京老年人居住在老破小#老破小怎么了？有北京人老年人不要的老破小吗，给我啊！,,,,近8成北京老年人居住在老破小,0,0,0,2023-11-08 00:23,微博轻享版,,,,北京,黄V
4965589886175941,Nrwi8pUDX,1898857797,看透不说透宋晓华,#近8成北京老年人居住在老破小#北京人活得也很不易啊！,,,,近8成北京老年人居住在老破小,0,0,1,2023-11-07 23:52,iPad Pro,,,,北京,黄V
4965588302562413,NrwfAaKBf,1957852313,鳌小拜小公举的姐姐,#近8成北京老年人居住在老破小#这是谁研究的？我就很震惊哪来的理论依据老年人住五六环方便？没研究一下把老年人都搬出北京啊？怎么可能…除非把医院都搬五六环来…,,,,近8成北京老年人居住在老破小,0,0,0,2023-11-07 23:46,iPhone客户端,https://wx1.sinaimg.cn/large/74b27499ly1hjmyub147gj20wi54mqv6.jpg,,,北京,普通用户
4965585609034700,NrwbeBUkY,1346800393,曾宪勇,"#近8成北京老年人居住在老破小#据统计，2022年我国60岁以上老年人口超过2.8亿，居家养老成为绝大多数老年人的养老选择。近日发布的《2023年北京老年居住需求洞察报告》显示，超过77%的北京老年人居住在1998年房地产商品化改革前建成的住宅中，他们享受了时代发展红利，且较早地拥有了区位优势明显的自有住房。但目前多数人的住房属于""老破小""，其居住条件及周边配套在适老化与舒适度越来越难以满足养老需求。2022年北京市55岁以上老年群体购房占比达11.4%。从研究结果看，老年群体置换需求""理想的约数""是五到六环之间、2008年以后建成、有电梯、80平方米两居室的商品住宅。感觉这又是在忽悠老年人换新房呢……",,,,近8成北京老年人居住在老破小,0,0,1,2023-11-07 23:35,HUAWEI Mate 30 5G,https://wx4.sinaimg.cn/large/50468b09ly1hjmyqcvgmyj20sq0yv1kx.jpg,,,北京,黄V
4965584549187852,Nrw9wCyba,1863376833,忙不停怎么办,#近8成北京老年人居住在老破小#我家2020年的楼，我觉得还挺新的，质量也挺好的，城建盖的。咋就老破小了,,,,近8成北京老年人居住在老破小,0,0,0,2023-11-07 23:31,iPhone 13 Pro Max,,,,北京,黄V
4965582460158492,Nrw6a0Fek,3821861152,MingZhC,"【#近8成北京老年人居住在老破小#人老房老的城市老年人面临置业养老问题】据统计，2022年我国60岁以上老年人口超过2.8亿，居家养老成为绝大多数老年人的养老选择。近日发布的《2023年北京老年居住需求洞察报告》显示，超过77%的北京老年人居住在1998年房地产商品化改革前建成的住宅中，他们享受了时代发展红利，且较早地拥有了区位优势明显的自有住房。但目前多数人的住房属于""老破小""，其居住条件及周边配套在适老化与舒适度越来越难以满足养老需求，""人老房老""问题日益凸显。因此，老年人置业成为了新的社会课题。#北京老年人卖房超4成是为支持子女#2022年北京市55岁以上老年群体购房占比达11.4%。从研究结果看，老年群体置换需求""理想的约数""是五到六环之间、2008年以后建成、有电梯、80平方米两居室的商品住宅。在北京售房老人调查样本中，出于改善性换购动机的占比达到40.8%，出于改善住房条件或周边配套动机而购房的占比则高达69.1%。此外，还有42.2%老年群体将房屋变现有出于支持子女的原因。其中最多的是帮助子女购房（29.1%），其次是作为财产分配给子女（10.1%）和帮子女还贷（3.3%），合计高于改善型换购。这也证明，对老年人而言，房屋不仅是用来养老居住的核心资产之一，也是老年人维系家庭关系的重要纽带。（综合：金融界、北晚在线）@大湾区视频L大湾区视频的微博视频",,,大湾区视频,"近8成北京老年人居住在老破小,北京老年人卖房超4成是为支持子女",1,1,2,2023-11-07 23:22,微博视频号,,"http://f.video.weibocdn.com/o0/TkHuhefUlx089YXNp1sY01041200dxXb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011512&ssig=EenIj6kmTV&KID=unistore,video",,北京,黄V
4965582269321392,Nrw5QD6V2,6089241611,北京在你身边,"【#近8成北京老年人居住在老破小#人老房老的城市老年人面临置业养老问题】据统计，2022年我国60岁以上老年人口超过2.8亿，居家养老成为绝大多数老年人的养老选择。近日发布的《2023年北京老年居住需求洞察报告》显示，超过77%的北京老年人居住在1998年房地产商品化改革前建成的住宅中，他们享受了时代发展红利，且较早地拥有了区位优势明显的自有住房。但目前多数人的住房属于""老破小""，其居住条件及周边配套在适老化与舒适度越来越难以满足养老需求，""人老房老""问题日益凸显。因此，老年人置业成为了新的社会课题。#北京老年人卖房超4成是为支持子女#2022年北京市55岁以上老年群体购房占比达11.4%。从研究结果看，老年群体置换需求""理想的约数""是五到六环之间、2008年以后建成、有电梯、80平方米两居室的商品住宅。在北京售房老人调查样本中，出于改善性换购动机的占比达到40.8%，出于改善住房条件或周边配套动机而购房的占比则高达69.1%。此外，还有42.2%老年群体将房屋变现有出于支持子女的原因。其中最多的是帮助子女购房（29.1%），其次是作为财产分配给子女（10.1%）和帮子女还贷（3.3%），合计高于改善型换购。这也证明，对老年人而言，房屋不仅是用来养老居住的核心资产之一，也是老年人维系家庭关系的重要纽带。（综合：金融界、北晚在线）@大湾区视频L大湾区视频的微博视频",,,大湾区视频,"近8成北京老年人居住在老破小,北京老年人卖房超4成是为支持子女",0,0,0,2023-11-07 23:22,北京生活超话,,"http://f.video.weibocdn.com/o0/TkHuhefUlx089YXNp1sY01041200dxXb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011512&ssig=EenIj6kmTV&KID=unistore,video",,甘肃,黄V
4965578129540976,NrvZaE22I,7484772739,露著晚瓜田,#近8成北京老年人居住在老破小#那是一般的老破小吗？那可是三环里价值一千多万的老破小，你用五环外的楼房和他们换，老头老太太坚决不换的！,,,,近8成北京老年人居住在老破小,0,0,3,2023-11-07 23:05,要糖果的小可爱,,,,北京,红V
4965576359284481,NrvWjCXjH,6277916540,有一个问号吖,#近8成北京老年人居住在老破小#笑死了北京老年人的房子大部分都在四环内哦房价6万左右的价格还真的不用卖惨……不搬去郊区的大房子不是因为没钱是因为老房子真的很方便,,,,近8成北京老年人居住在老破小,0,0,0,2023-11-07 22:58,iPhone 13,,,,北京,普通用户
4965563749633967,NrvBYEqez,5816161945,北京大峰峰,"【#近8成北京老年人居住在老破小#人老房老的城市老年人面临置业养老问题】据统计，2022年我国60岁以上老年人口超过2.8亿，居家养老成为绝大多数老年人的养老选择。近日发布的《2023年北京老年居住需求洞察报告》显示，超过77%的北京老年人居住在1998年房地产商品化改革前建成的住宅中，他们享受了时代发展红利，且较早地拥有了区位优势明显的自有住房。但目前多数人的住房属于""老破小""，其居住条件及周边配套在适老化与舒适度越来越难以满足养老需求，""人老房老""问题日益凸显。因此，老年人置业成为了新的社会课题。#北京老年人卖房超4成是为支持子女#2022年北京市55岁以上老年群体购房占比达11.4%。从研究结果看，老年群体置换需求""理想的约数""是五到六环之间、2008年以后建成、有电梯、80平方米两居室的商品住宅。在北京售房老人调查样本中，出于改善性换购动机的占比达到40.8%，出于改善住房条件或周边配套动机而购房的占比则高达69.1%。此外，还有42.2%老年群体将房屋变现有出于支持子女的原因。其中最多的是帮助子女购房（29.1%），其次是作为财产分配给子女（10.1%）和帮子女还贷（3.3%），合计高于改善型换购。这也证明，对老年人而言，房屋不仅是用来养老居住的核心资产之一，也是老年人维系家庭关系的重要纽带。（综合：金融界、北晚在线）@大湾区视频L大湾区视频的微博视频",,,大湾区视频,"近8成北京老年人居住在老破小,北京老年人卖房超4成是为支持子女",4,13,51,2023-11-07 22:08,微博视频号,,"http://f.video.weibocdn.com/o0/TkHuhefUlx089YXNp1sY01041200dxXb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011515&ssig=rBqlFTI%2FhW&KID=unistore,video",,北京,金V
4965489614783252,NrtGpk4le,3468466672,板扎视频,"【#近8成北京老年人居住在老破小# 人老房老的城市老年人面临置业养老问题】据统计，2022年我国60岁以上老年人口超过2.8亿，居家养老成为绝大多数老年人的养老选择。近日发布的《2023年北京老年居住需求洞察报告》显示，超过77%的北京老年人居住在1998年房地产商品化改革前建成的住宅中，他们享受了时代发展红利，且较早地拥有了区位优势明显的自有住房。但目前多数人的住房属于""老破小""，其居住条件及周边配套在适老化与舒适度越来越难以满足养老需求，""人老房老""问题日益凸显。因此，老年人置业成为了新的社会课题。#北京老年人卖房超4成是为支持子女# 2022年北京市55岁以上老年群体购房占比达11.4%。从研究结果看，老年群体置换需求""理想的约数""是五到六环之间、2008年以后建成、有电梯、80平方米两居室的商品住宅。在北京售房老人调查样本中，出于改善性换购动机的占比达到40.8%，出于改善住房条件或周边配套动机而购房的占比则高达69.1%。此外，还有42.2%老年群体将房屋变现有出于支持子女的原因。其中最多的是帮助子女购房（29.1%），其次是作为财产分配给子女（10.1%）和帮子女还贷（3.3%），合计高于改善型换购。这也证明，对老年人而言，房屋不仅是用来养老居住的核心资产之一，也是老年人维系家庭关系的重要纽带。（综合：金融界、北晚在线）@大湾区视频 L大湾区视频的微博视频",,,大湾区视频,"近8成北京老年人居住在老破小,北京老年人卖房超4成是为支持子女",0,0,0,2023-11-07 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/TkHuhefUlx089YXNp1sY01041200dxXb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011515&ssig=rBqlFTI%2FhW&KID=unistore,video",,,蓝V
