id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4978416215919349,NwTXLoPTn,5517051113,麦穗-0202,#这届老年人的退休生活有多快乐#快乐的退休生活,,,,这届老年人的退休生活有多快乐,0,0,2,2023-12-13 09:19,iPhone客户端,https://wx2.sinaimg.cn/large/0061mZ1nly1hkrwa00d52j32tc19k7lh.jpg,,,安徽,普通用户
4942711418787432,NhV7nAS0M,5867519404,一只佩奇的日常,怎么说呢，是为了生活而去工作的，但每天为了工作而没有了生活，忙碌完一天一整个背痛脖子痛，忙起来感觉不到一旦放松就开始疼痛，别人都是怎么平衡这一切的啊，我真的不理解，真是令人疑惑，可能四十不惑我就没了很多疑惑吧，也离四十岁不远了，劝自己保重身体吧，毕竟我觉得我活70岁就够了……好希望可以退休#这届老年人的退休生活有多快乐##退休的快乐是按耐不住的#,,,,"这届老年人的退休生活有多快乐,退休的快乐是按耐不住的",0,0,0,2023-09-05 20:41,iPhone客户端,https://wx1.sinaimg.cn/large/006p5vPKly1hhlzndmnxfj30u01401c9.jpg,,,北京,普通用户
4942338991063157,NhLqH4szH,5347238751,宁宁关啊,啥时候能退休呢#这届老年人的退休生活有多快乐#,,,,这届老年人的退休生活有多快乐,0,1,4,2023-09-04 20:01,nova7你在焦点在,https://wx4.sinaimg.cn/large/005PSt4jly1hhksvey3zxj32o03k0qv6.jpg,,,北京,普通用户
4941829231085148,Nhyav4yio,6025726530,Serene-Tang,去游泳馆路上看到一些退休的爷爷奶奶们闲适的高质量晚年生活，希望几十年后咱的退休生活也是这样。#这届老年人的退休生活有多快乐#,,,,这届老年人的退休生活有多快乐,0,2,11,2023-09-03 10:16,iPhone,"https://wx3.sinaimg.cn/large/006zNkJAgy1hhj6ano3v6j31400u0wr1.jpg,https://wx2.sinaimg.cn/large/006zNkJAgy1hhj6ao6jarj30u01407j2.jpg,https://wx2.sinaimg.cn/large/006zNkJAgy1hhj6an5xc4j31400u0gz5.jpg",,,湖北,普通用户
4941517983844474,Nhq4ug87E,6533316796,水永远是落地后才是最有用的2020,退休的预备期生活：好像两三天就适应了吧，忽然变成了宅家大叔了#这届老年人的退休生活有多快乐##慢生活#,,,,"这届老年人的退休生活有多快乐,慢生活",0,0,2,2023-09-02 13:39,HUAWEI Mate 30,,,,黑龙江,普通用户
4941506660532701,NhpMe2ezX,7852569988,怡养源官方,#怡养日历#09/02【怡】观玉✨一杯一盏，一座一抚眼中无尘，心中无暇#怡养源##体验快乐享受健康#快乐怡养源超话#怡养源##微健康##健康##健康生活##这届老年人的退休生活有多快乐#,,,,"怡养日历,怡养源,体验快乐享受健康,微健康,健康,健康生活,这届老年人的退休生活有多快乐",0,0,0,2023-09-02 12:54,iPhone客户端,https://wx4.sinaimg.cn/large/008zqAaEly1hhi5aw5s04j33a54di4qv.jpg,,,北京,蓝V
4941462683519401,NhoDieLyx,6444543106,花开半夏凉城城空,"生活是枯燥的,快乐是自己给的。#这届老年人的退休生活有多快乐#",,,,这届老年人的退休生活有多快乐,0,0,13,2023-09-02 09:59,OPPO A93s 5G,"https://wx1.sinaimg.cn/large/00728E3Egy1hhi095634jj30to13k43q.jpg,https://wx4.sinaimg.cn/large/00728E3Egy1hhi096a5gwj30u012vk3g.jpg,https://wx4.sinaimg.cn/large/00728E3Egy1hhi096sm8zj30u01410y8.jpg,https://wx4.sinaimg.cn/large/00728E3Egy1hhi0984pmtj30u012tn1d.jpg,https://wx2.sinaimg.cn/large/00728E3Egy1hhi098q230j30ru0rfwie.jpg,https://wx2.sinaimg.cn/large/00728E3Egy1hhi099ag3mj30u00u043t.jpg,https://wx2.sinaimg.cn/large/00728E3Egy1hhi099r0gpj30ss0st0yo.jpg,https://wx4.sinaimg.cn/large/00728E3Egy1hhi09ah3n2j30u014079b.jpg,https://wx1.sinaimg.cn/large/00728E3Egy1hhi09azrwej30u012pgt1.jpg",,,云南,普通用户
4941411152036550,Nhnib8xNA,5747314747,王哔哔酷爱吃面条,提前过上老大爷的生活，遛鸟🐤，想退休了#这届老年人的退休生活有多快乐##虎皮鹦鹉#L王哔哔酷爱吃面条的微博视频,,,,"这届老年人的退休生活有多快乐,虎皮鹦鹉",0,0,4,2023-09-02 06:34,微博视频号,,"http://f.video.weibocdn.com/o0/HwduYQcHlx088hiwLQuQ0104120060R80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011552&ssig=gtjiDMN4PR&KID=unistore,video",,山东,黄V
4941248004886255,Nhj32kv8z,6110640784,云近天边,提前适应退休后的生活#心老人不老##这届老年人的退休生活有多快乐#,,,,"心老人不老,这届老年人的退休生活有多快乐",0,0,0,2023-09-01 19:46,iPhone客户端,https://wx4.sinaimg.cn/large/006FxCOkly1hhhbl7uokkj32pi1lgkjl.jpg,,,江苏,普通用户
4941209148853202,Nhi2mB97A,3704850001,又见林一,八月快乐一如往常#这届老年人的退休生活有多快乐#,,杭州,,这届老年人的退休生活有多快乐,0,5,9,2023-09-01 17:12,生活碎片超话,"https://wx4.sinaimg.cn/large/dcd38651gy1hhh72d0dcmj22dc35sqv6.jpg,https://wx4.sinaimg.cn/large/dcd38651gy1hhh722m17dj22dc35sqv6.jpg,https://wx2.sinaimg.cn/large/dcd38651gy1hhh72bi2vbj22dc35su0z.jpg,https://wx3.sinaimg.cn/large/dcd38651gy1hhh729n0bdj22dc35sb2b.jpg,https://wx1.sinaimg.cn/large/dcd38651gy1hhh72emce7j20nh0vbdl9.jpg,https://wx1.sinaimg.cn/large/dcd38651gy1hhh72dxu7tj21sc2dskce.jpg,https://wx2.sinaimg.cn/large/dcd38651gy1hhh727wqpdj224s2uee83.jpg,https://wx1.sinaimg.cn/large/dcd38651gy1hhh7262zpgj224s2uenpf.jpg,https://wx4.sinaimg.cn/large/dcd38651gy1hhh7241x48j224s2uex6r.jpg",,,浙江,普通用户
