id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5021264881911391,O8Vcc81eT,7590566613,闪电财经,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 15:05,微博云剪,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
5021264374402101,O8VbnitbD,6033982791,理响栏目,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 15:03,微博云剪,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
5021263871875431,O8Vaz7RST,7591214996,闪电纪录,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 15:01,微博云剪,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
5021263366196478,O8V9KpZZc,7590463106,闪电少儿,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 14:59,微博云剪,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
5021262869431635,O8V8WDzB9,7592510965,闪电触角,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 14:57,微博云剪,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
5021262361924312,O8V8884Bi,7729624058,中国雪蜡车,#公交司机出示退伍证送迷路女孩回家#【#女孩迷路哭泣被公交司机送回家#】#迷路老人防丢卡上写满子女电话#近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。L陕视新闻的微博视频,,,,"公交司机出示退伍证送迷路女孩回家,女孩迷路哭泣被公交司机送回家,迷路老人防丢卡上写满子女电话",0,0,0,2024-04-09 14:55,微博视频号,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
4975936648513542,NvRsszILc,1882503984,石狮般若纹身13799548868,#阿信做好自己##刘亦菲泰国##迷路老人防丢卡上写满子女电话#老爷爷患有老年痴呆症走丢了好多次，子女为了防丢就在老人手上纹上子女的电话号码方便走丢时联系家人,,泉州·般若纹身(旗舰店),,"阿信 做好自己,刘亦菲 泰国,迷路老人防丢卡上写满子女电话",0,0,0,2023-12-06 13:06,iPhone客户端,"https://wx1.sinaimg.cn/large/7034bb30gy1hkjzg53d4fj20u0140132.jpg,https://wx1.sinaimg.cn/large/7034bb30gy1hkjzg5johzj20u0140k1l.jpg",,,,普通用户
4915938447071146,N6GDatFwK,6405952881,清水检察,#清检分享#【“我孩子会来接我的”！#迷路老人防丢卡上写满子女电话#】近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。#老人迷路后不停念叨孩子会来接我的#@陕视新闻L陕视新闻的微博视频,,,陕视新闻,"清检分享,迷路老人防丢卡上写满子女电话,老人迷路后不停念叨孩子会来接我的",0,0,0,2023-06-23 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
4915938173911290,N6GCJgpvk,6405952881,清水检察,#清检分享#【“我孩子会来接我的”！#迷路老人防丢卡上写满子女电话#】近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。#老人迷路后不停念叨孩子会来接我的#@陕视新闻L陕视新闻的微博视频,,,陕视新闻,"清检分享,迷路老人防丢卡上写满子女电话,老人迷路后不停念叨孩子会来接我的",0,0,0,2023-06-23 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
4915779504703962,N6CuOjJIm,3703718952,崆峒发布V,【“我孩子会来接我的”！#迷路老人防丢卡上写满子女电话#】近日，安徽宿州，一位86岁的老人迷路了。民警在对其救助时，发现其随身携带的防丢卡上足足写满了四位子女的电话。沟通过程中，老人口中也一直念叨着“”我孩子会来接我的”。民警之后随机拨打了一个电话，家人很快就赶到了现场。#老人迷路后不停念叨孩子会来接我的#@陕视新闻L陕视新闻的微博视频,,,陕视新闻,"迷路老人防丢卡上写满子女电话,老人迷路后不停念叨孩子会来接我的",0,0,2,2023-06-23 13:03,微博视频号,,"http://f.video.weibocdn.com/o0/ECcMaLNDlx086fZwlQ6401041200mmLd0E010.mp4?label=mp4_720p&template=1252x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001172&ssig=yq656aeVmu&KID=unistore,video",,,蓝V
