id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4509308220008313,J3U9g02a5,2278066222,长沙吃喝玩乐团,"#长沙身边事#【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""#长沙吃喝玩乐团#by👉🏻L潇湘晨报的微博视频",,,,"长沙身边事,退休老人22年为居民磨刀上万把,长沙吃喝玩乐团",0,0,0,2020-05-27 21:32,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,黄V
4509191186785193,J3R6ust8B,2094318234,你好长沙,"【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,,,退休老人22年为居民磨刀上万把,0,0,7,2020-05-27 13:46,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,红V
4508790328092741,J3GFWxXi5,3253001215,长沙观察君,"#长沙退休老人免费磨刀22年#【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,,,"长沙退休老人免费磨刀22年,退休老人22年为居民磨刀上万把",0,0,0,2020-05-26 11:14,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,黄V
4508785282068289,J3GxO8G3v,2159527751,长沙微分享,"【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,长沙,,退休老人22年为居民磨刀上万把,0,0,1,2020-05-26 10:54,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,黄V
4508784091779165,J3GvT7sQd,2309731771,长沙头条,"#长沙退休老人免费磨刀22年#【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""O长沙一老人退休22年换了6块磨刀石，为社区居民义务磨刀上万把L潇湘晨报的微博视频",,,,"长沙退休老人免费磨刀22年,退休老人22年为居民磨刀上万把",0,1,6,2020-05-26 10:49,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,黄V
4508783097814909,J3GuhwN0V,2311694415,新浪湖南,"#长沙退休老人免费磨刀22年#【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""O长沙一老人退休22年换了6块磨刀石，为社区居民义务磨刀上万把L潇湘晨报的微博视频",,,,"长沙退休老人免费磨刀22年,退休老人22年为居民磨刀上万把",2,2,8,2020-05-26 10:45,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,蓝V
4508776428711206,J3GjwAybk,2345597047,中国小康网,"【长沙#退休老人22年为居民磨刀上万把#】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""@长沙发布L潇湘晨报的微博视频",,,长沙发布,退休老人22年为居民磨刀上万把,0,0,0,2020-05-26 10:18,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,蓝V
4508775970683371,J3GiN2RM7,6072764874,乐生活在长沙,"#长沙身边事#【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,长沙,,"长沙身边事,退休老人22年为居民磨刀上万把",0,0,0,2020-05-26 10:17,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,黄V
4508775409934807,J3GhSFGuP,1668299323,小康杂志社,"【长沙#退休老人22年为居民磨刀上万把#】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""@长沙发布L潇湘晨报的微博视频",,,长沙发布,退休老人22年为居民磨刀上万把,0,0,0,2020-05-26 10:14,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,蓝V
4508773216116126,J3GelpF5c,2120274727,益阳日报社,"【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,,,退休老人22年为居民磨刀上万把,0,0,0,2020-05-26 10:06,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021691&ssig=ROQUuLCNkM&KID=unistore,video",,,蓝V
4508762800560230,J3FXy2lJY,1655444627,潇湘晨报,"【长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀】徐正清老人今年75岁，自退休以来，他自学磨刀，就开始了为社区居民志愿磨刀的生活。22年来，徐正清已经磨了上万把刀，具体数目他自己也不记得了。徐正清拿出一块磨刀石，说：""具体磨了多少把刀，就让这块磨刀石告诉大家吧。""L潇湘晨报的微博视频",,长沙,,退休老人22年为居民磨刀上万把,2,3,35,2020-05-26 09:24,微博视频号,,"http://f.video.weibocdn.com/00352Eurgx07Dz2O2hAY010412007qTV0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725021694&ssig=kY6uYxdich&KID=unistore,video",,,
4508770980788415,J3GaK3j6n,1964198481,郴州市公安局,长沙#退休老人22年为居民磨刀上万把#最多的时候一天磨了156把刀,,,,退休老人22年为居民磨刀上万把,0,0,35,2020-05-26 09:57,微博 weibo.com,,,4508762800560230,,蓝V
