id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4659532595202728,KoYIjlPsY,2724393903,城事微绍兴,#退休老人70岁拿到中国美院书画双学位#浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,0,0,2021-07-16 10:30,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4659372485252008,KoUy4m2hO,2012536357,金华直播间,#退休老人70岁拿到中国美院书画双学位#浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,1,0,4,2021-07-15 23:53,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,黄V
4659343864106639,KoTNUhek7,1801838560,温州微博大事小事,#退休老人70岁拿到中国美院书画双学位#浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,2,2,10,2021-07-15 22:00,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,黄V
4659152720498700,KoOPC25Jy,5369330529,周村检察,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,2,16,14,2021-07-15 09:20,iPhone客户端,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4659152054125413,KoOOxhjcV,5042240803,西青检察官,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,1,0,2021-07-15 09:17,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4659147641979814,KoOHq8j2u,3172298770,新余环境,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,0,0,2021-07-15 09:00,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4659122429495192,KoO2KDQ8g,2292896411,中工网,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,0,0,2021-07-15 07:20,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4658984629570988,KoKsuE9QM,5453011460,朝阳发布,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,0,0,2021-07-14 22:12,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4658974966681089,KoKcUs23v,2886691130,陇南康县检察,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,0,0,1,2021-07-14 21:34,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019399&ssig=dZZE8%2Bi6O7&KID=unistore,video",,,蓝V
4658973946681685,KoKbgs2d7,1977460817,央视网快看,【#退休老人70岁拿到中国美院书画双学位#】浙江有一位70岁的徐安玲老人，上月，她从中国美院中国画专业顺利毕业，拿到她在美院的第二个艺术学学士学位。徐安玲老人从58岁进入中国美院进修班学习，在12年时间里，先后获得书法专业和中国画专业双学位。老人表示，还准备继续读研究生，把有限的生命投入到无限的艺术中。L央视网快看的微博视频,,,,退休老人70岁拿到中国美院书画双学位,7,4,36,2021-07-14 21:30,微博视频号,,"http://locallimit.us.sinaimg.cn/ZHIqfl6Nlx07OdU8We9W01041200boG20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019401&ssig=hURqdOxppW&KID=unistore,video",,,蓝V
