id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4829160310311808,MceAL1j7a,1958890151,福州火车站,#福站微视角#【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。L重庆广电-第1眼的微博视频,,,,"福站微视角,退休老人十年作千幅画还原山城老街",1,0,1,2022-10-27 12:30,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4829150726065080,MceliprNS,1750290692,重庆卫视,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。L重庆广电-第1眼的微博视频,,,,退休老人十年作千幅画还原山城老街,0,0,0,2022-10-27 11:51,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4829080597299237,MccwbuCRD,2726226923,桓台融媒,山东潍坊女子陈涌以针线为笔，用潍绣的方式“书写”出《兰亭序》，惊艳四座。潍绣是鲁绣的重要分支，创作时需用不同颜色的纺线表现色彩深浅，以求达到生动逼真的视觉效果。陈涌绣出的《兰亭序》，整幅作品300余字，通过穿针走线再现了书法艺术的魅力，给人以美的享受。网友：实属少见，呈现出别样的艺术美！#退休老人十年作千幅画还原山城老街##奋进新征程建功新时代##好品山东##奋进吧山东##强国复兴有我##走在前开新局##打击整治养老诈骗##疫情防控#L闪电新闻的微博视频,,,,"退休老人十年作千幅画还原山城老街,奋进新征程 建功新时代,好品山东,奋进吧山东,强国复兴有我,走在前 开新局,打击整治养老诈骗,疫情防控",0,0,0,2022-10-27 07:13,微博视频号,,"http://f.video.weibocdn.com/o0/tSVbkXxglx080htrAq3K01041200L1Zx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=BO5IIYLQIb&KID=unistore,video",,,蓝V
4828903862964455,Mc7V8crbN,2425315932,陕西天天网事,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。via.重庆广电-第1眼L重庆广电-第1眼的微博视频,,,,退休老人十年作千幅画还原山城老街,0,0,0,2022-10-26 19:31,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4828902105024366,Mc7Sil54a,1830055592,陕西都市热线,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。via.重庆广电-第1眼L重庆广电-第1眼的微博视频,,,,退休老人十年作千幅画还原山城老街,0,0,0,2022-10-26 19:24,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4828898585745767,Mc7MCo6JF,2099214172,魅力安宁,#退休老人十年作千幅画还原山城老街#【蒋凌笔下的昆明城】现昆明城址缘起于唐代南诏国的拓东城，拓东城又被称为“龟城”，预示着长久不衰的意思，元代以后，昆明城在城址上做了较大的变动，明代又被扩筑为砖城。[月儿圆]我出生在七十年代初，又是在旧城中心区南屏街旁的高山铺长大，在我的记忆深处永远都有着对昆明老城抹不去的情感和追忆。O网页链接（昆明信息港）,,,,退休老人十年作千幅画还原山城老街,0,0,1,2022-10-26 19:10,微博网页版,"https://wx4.sinaimg.cn/large/7d1f775cgy1h7ircxwmppj20im0dydhg.jpg,https://wx1.sinaimg.cn/large/7d1f775cgy1h7ircy2tlxj20im0d4wgh.jpg,https://wx3.sinaimg.cn/large/7d1f775cgy1h7ircyapavj20im0cijt3.jpg,https://wx3.sinaimg.cn/large/7d1f775cgy1h7ircyid1nj20im0citae.jpg,https://wx1.sinaimg.cn/large/7d1f775cgy1h7ircyn1w2j20im09zmyd.jpg,https://wx3.sinaimg.cn/large/7d1f775cgy1h7ircysm3xj20im0cijte.jpg,https://wx4.sinaimg.cn/large/7d1f775cgy1h7ircyzd5ej20im0atgn2.jpg,https://wx3.sinaimg.cn/large/7d1f775cgy1h7ircz5qg6j20im0aht94.jpg",,,,蓝V
4828890303038872,Mc7zgcKy4,2346437860,三峡融媒,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,退休老人十年作千幅画还原山城老街,0,0,0,2022-10-26 18:37,iPhone客户端,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4828851139777383,Mc6y5F1xJ,5373317701,玩味仙生,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。（重庆广电-第1眼）重庆身边事超话L重庆广电-第1眼的微博视频,,重庆,,退休老人十年作千幅画还原山城老街,4,0,4,2022-10-26 16:01,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,黄V
4828836456040145,Mc6appljH,1929496477,杭州交通918,#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。L重庆广电-第1眼的微博视频,,,,退休老人十年作千幅画还原山城老街,0,0,2,2022-10-26 15:03,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4828835713647386,Mc69dfiQO,6507792755,有料,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,退休老人十年作千幅画还原山城老街,0,0,2,2022-10-26 15:00,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989139&ssig=xxczrfVkcx&KID=unistore,video",,,蓝V
4828835672228177,Mc6999lEl,2208446650,聚焦重庆,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。（重庆广电-第1眼）L重庆广电-第1眼的微博视频,,,,退休老人十年作千幅画还原山城老街,0,0,3,2022-10-26 15:00,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989141&ssig=Q%2B7OKHktVt&KID=unistore,video",,,红V
4828835612200484,Mc6939erG,6124642021,新京报我们视频,【#退休老人十年作千幅画还原山城老街#】一张画板、一支画笔、一个小马扎，说走就走的创作之旅，便是吴庆渝的日常。如今62岁的她，过去10年间走遍了重庆的老街巷，十八梯、燕子岩、上新街、山城巷......她用一支铅笔，一支签字笔创作画稿上千幅，让老重庆的模样跃然纸上。@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,退休老人十年作千幅画还原山城老街,1,0,5,2022-10-26 14:59,微博视频号,,"http://f.video.weibocdn.com/u0/YSwRZJckgx080gBl99AQ010412018Ud20E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989141&ssig=Q%2B7OKHktVt&KID=unistore,video",,,蓝V
