id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4961385248722648,NpKUsAB9S,7576391546,伊川县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,3,2023-10-27 09:24,iPhone客户端,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961129035466646,NpEfdmW7I,7571346388,云上河南,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",6,7,7,2023-10-26 16:26,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,
4961226046834393,NpGLGsFW9,7464359549,林州市融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。#57分钟长篇感受一脉相承的精神#,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,7,2023-10-26 22:52,iPhone客户端,,,4961129035466646,,蓝V
4961144815223859,NpEEFlUXN,7576391546,伊川县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,1,5,2023-10-26 17:29,iPhone客户端,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142181463524,NpEAq68Je,7576522913,虞城县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,0,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142181462345,NpEAq68qd,7576657225,卢氏县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,0,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142176745332,NpEApsiLG,7576391546,伊川县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,1,5,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142176743702,NpEApsilo,7576126022,息县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,0,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142176482865,NpEAprcul,5340932634,内黄县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,0,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
4961142176222370,NpEApq6IO,7576258476,确山县融媒体中心,【于报生：为弘扬红旗渠精神不遗余力】#退休老人谈起红旗渠精神浑身是劲#成为“五老”宣讲团成员，既是一种荣誉，更是一种责任。河南省安阳市林州市退休干部于报生以弘扬红旗渠精神、传承红色基因为重点，努力在提高宣讲质量上下苦功，在突出宣讲特色上求突破，努力成为一名合格的、让下一代满意的“五老”宣讲员。#57分钟长篇感受一脉相承的精神#L云上河南的微博视频,,,,"退休老人谈起红旗渠精神浑身是劲,57分钟长篇感受一脉相承的精神",0,0,0,2023-10-26 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/qCaReeLglx089G5iKgFa01041200NeSz0E010.mp4?label=mp4_hd&template=848x478.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010491&ssig=lI2Zfo81ul&KID=unistore,video",,,蓝V
