id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5019630958018896,O8eGPxE52,1319297121,lotus_anan,本周热读超话#重庆成为老年人旅行最热目的地#，2025年低龄健康老人预计将超1亿人，老年旅游收入有望超万亿元（观察者网微丢视频）L观察者网微丢视频的微博视频,,,,重庆成为老年人旅行最热目的地,0,0,0,2024-04-05 02:52,本周热读超话,,"http://f.video.weibocdn.com/o0/o7uxfBkglx08dNvhwHoQ010412004ZDW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724981527&ssig=5e3l8TX1el&KID=unistore,video",,,黄V
5019205055021766,O83BTl4oe,1887344341,观察者网,#重庆成为老年人旅行最热目的地#，2025年低龄健康老人预计将超1亿人，老年旅游收入有望超万亿元L观察者网微丢视频的微博视频,,,,重庆成为老年人旅行最热目的地,6,15,41,2024-04-03 22:40,微博视频号,,"http://f.video.weibocdn.com/o0/o7uxfBkglx08dNvhwHoQ010412004ZDW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724981527&ssig=5e3l8TX1el&KID=unistore,video",,,蓝V
5019160474555408,O82rZj74k,2596119483,观察者网微丢视频,#重庆成为老年人旅行最热目的地#，2025年低龄健康老人预计将超1亿人，老年旅游收入有望超万亿元L观察者网微丢视频的微博视频,,,,重庆成为老年人旅行最热目的地,0,0,6,2024-04-03 19:42,微博视频号,,"http://f.video.weibocdn.com/o0/o7uxfBkglx08dNvhwHoQ010412004ZDW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724981527&ssig=5e3l8TX1el&KID=unistore,video",,,蓝V
5018711682974699,O7QM8ctR1,1638782947,新浪财经,【#重庆成为老年人旅行最热目的地#】据中国旅游研究院预测，至2025年我国出游率较高、旅游消费较多的低龄健康老人预计将超1亿人，#老年旅游收入有望超万亿元#。携程老友会数据显示，从度假订单看，3、4月份老年人热衷的旅游目的地中，重庆排第一。贵阳、北京分列二、三位，其余依次为上海、丽江、张家界、桂林、三亚、西安、成都。梁建章表示，“像我一样，不管是否退休，新一代‘老友’都比以往有更多时间旅行，他们有机会避开传统旅游旺季如节假日、周末等出行，如果我们能服务好他们，可以有效帮助旅游行业‘削峰填谷’，创造增量。”,,,,"重庆成为老年人旅行最热目的地,老年旅游收入有望超万亿元",11,10,19,2024-04-02 13:59,,https://wx4.sinaimg.cn/large/001MUaj1ly1hocg70m35bj618u1wt1kx02.jpg,,,,
5018952141112005,O7X1Y4Fhz,5360802555,陈世玉64255,//@悲悯的落后分子:重庆是个好地方……江边喝杯茶，吹吹江风。如果下场小雨，更是舒适。#重庆成为老年人旅行最热目的地#,,,悲悯的落后分子,重庆成为老年人旅行最热目的地,0,0,19,2024-04-03 05:55,Redmi Note 8 Pro四摄,,,5018711682974699,,普通用户
5018820001662195,O7TAQ6YpB,3300115167,重庆城市科技学院,#城科微互动##重庆成为老年人旅行最热目的地#4月份老年人热衷的旅游目的地中重庆排第一你认为老年人更适合去哪个目的地旅游呢你认为老年人更适合去哪个目的地旅游呢？,,,,"城科微互动,重庆成为老年人旅行最热目的地",2,2,20,2024-04-02 21:09,重庆大学城市科技学院超话,,,,,蓝V
5018795334964273,O7SX3kPqV,1010567100,财经洞察2025,【#重庆成为老年人旅行最热目的地#】据中国旅游研究院预测，至2025年我国出游率较高、旅游消费较多的低龄健康老人预计将超1亿人，#老年旅游收入有望超万亿元#。携程老友会数据显示，从度假订单看，3、4月份老年人热衷的旅游目的地中，重庆排第一。贵阳、北京分列二、三位，其余依次为上海、丽江、张家界、桂林、三亚、西安、成都。L第1眼视频的微博视频,,,,"重庆成为老年人旅行最热目的地,老年旅游收入有望超万亿元",0,0,0,2024-04-02 19:31,时光之河的Android,,"http://f.video.weibocdn.com/o0/BxAiakjwlx08dLGCe3pS010412007fqp0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724981527&ssig=NIg9eq%2B%2FjB&KID=unistore,video",,,黄V
5018777236276322,O7StRqkL0,1650111241,中国经营报,【#重庆成为老年人旅行最热目的地#】据中国旅游研究院预测，至2025年我国出游率较高、旅游消费较多的低龄健康老人预计将超1亿人，#老年旅游收入有望超万亿元#。携程老友会数据显示，从度假订单看，3—4月份老年人热衷的旅游目的地中，重庆排第一。贵阳、北京分列二、三位，其余依次为上海、丽江、张家界、桂林、三亚、西安、成都。L第1眼视频的微博视频,,,,"重庆成为老年人旅行最热目的地,老年旅游收入有望超万亿元",0,0,1,2024-04-02 18:20,微博视频号,,"http://f.video.weibocdn.com/o0/BxAiakjwlx08dLGCe3pS010412007fqp0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724981527&ssig=NIg9eq%2B%2FjB&KID=unistore,video",,,蓝V
5018766408941655,O7ScoBw8f,1103243582,自媒体在风口,【#重庆成为老年人旅行最热目的地#】据中国旅游研究院预测，至2025年我国出游率较高、旅游消费较多的低龄健康老人预计将超1亿人，#老年旅游收入有望超万亿元#。携程老友会数据显示，从度假订单看，3、4月份老年人热衷的旅游目的地中，重庆排第一。贵阳、北京分列二、三位，其余依次为上海、丽江、张家界、桂林、三亚、西安、成都。梁建章表示，“像我一样，不管是否退休，新一代‘老友’都比以往有更多时间旅行，他们有机会避开传统旅游旺季如节假日、周末等出行，如果我们能服务好他们，可以有效帮助旅游行业‘削峰填谷’，创造增量。”,,,,"重庆成为老年人旅行最热目的地,老年旅游收入有望超万亿元",0,0,0,2024-04-02 17:36,iPhone客户端,"https://wx4.sinaimg.cn/large/41c2293ely1hocmgusuduj22j4150kjl.jpg,https://wx3.sinaimg.cn/large/41c2293ely1hocmgtr55yj223f15je81.jpg,https://wx2.sinaimg.cn/large/41c2293ely1hocmgvdxvvj20zo256gzu.jpg,https://wx3.sinaimg.cn/large/41c2293ely1hocmgw6nxbj20zo256dyo.jpg,https://wx4.sinaimg.cn/large/41c2293ely1hocmgxv4mij222o340hdt.jpg,https://wx4.sinaimg.cn/large/41c2293ely1hocmgz3d6xj211z0r8jxb.jpg,https://wx2.sinaimg.cn/large/41c2293ely1hocmh0lu4jj218u1wte81.jpg",,,,普通用户
5018759795836803,O7S1JoupZ,1279746217,经理人杂志,【#重庆成为老年人旅行最热目的地#】据中国旅游研究院预测，至2025年我国出游率较高、旅游消费较多的低龄健康老人预计将超1亿人，#老年旅游收入有望超万亿元#。携程老友会数据显示，从度假订单看，3、4月份老年人热衷的旅游目的地中，重庆排第一。贵阳、北京分列二、三位，其余依次为上海、丽江、张家界、桂林、三亚、西安、成都。梁建章表示，“像我一样，不管是否退休，新一代‘老友’都比以往有更多时间旅行，他们有机会避开传统旅游旺季如节假日、周末等出行，如果我们能服务好他们，可以有效帮助旅游行业‘削峰填谷’，创造增量。”,,,,"重庆成为老年人旅行最热目的地,老年旅游收入有望超万亿元",0,0,0,2024-04-02 17:10,微博网页版,"https://wx1.sinaimg.cn/large/4c4760a9gy1hoclpmdr59j22j4150u0x.jpg,https://wx2.sinaimg.cn/large/4c4760a9gy1hoclpmesa3j223f15je81.jpg,https://wx3.sinaimg.cn/large/4c4760a9gy1hoclpmctjuj20zo256kjl.jpg,https://wx4.sinaimg.cn/large/4c4760a9gy1hoclpng664j20zo256u0x.jpg,https://wx2.sinaimg.cn/large/4c4760a9gy1hoclpn2ck3j222o340u0x.jpg,https://wx4.sinaimg.cn/large/4c4760a9gy1hoclpn5uhxj211z0r8wpk.jpg,https://wx4.sinaimg.cn/large/4c4760a9gy1hoclpm3nu7j218u1wt1kx.jpg",,,,蓝V
