id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5041793709900591,OhxfcFxAX,6708900377,益多公益张乐川,#如何解决父母居家养老安全隐患##适老化改造#家里最大的安全隐患在卫生间，特别是湿滑的地面和没有扶手的蹲厕，这些都可能造成老人摔倒，简单的安装一个扶手，可以将摔倒的风险降到最低。你会在卫生间安装扶手吗？#重点解决好老年人居家养老等问题##风险解决方案##装修灵感库#,,,,"如何解决父母居家养老安全隐患,适老化改造,重点解决好老年人居家养老等问题,风险解决方案,装修灵感库",1,0,1,2024-06-05 06:39,iPhone客户端,"https://wx1.sinaimg.cn/large/007k1RsBgy1hqe33wsv4wj30zk1b8gx3.jpg,https://wx1.sinaimg.cn/large/007k1RsBgy1hqe33w11okj31jk2247fs.jpg,https://wx1.sinaimg.cn/large/007k1RsBgy1hqe33x6fadj30sg0hzq6y.jpg,https://wx2.sinaimg.cn/large/007k1RsBgy1hqe33xjtjgj30m70gcjup.jpg,https://wx3.sinaimg.cn/large/007k1RsBgy1hqe33xzxfej30m60hctc6.jpg",,,,普通用户
5037458777441212,OfItnvdNy,5552767701,广东村姑吴秀兰,乡礼农品超话昨天上午，始兴县民政局领导到始兴绿芽社会工作服务居家养老项目乌石村、千净村指导工作，在乌石村领导指出在工作中注意安全第一，对设施设备提出建议，非常认可在千净村环境改造，对千净村委积极配合工作支持点赞。#乡村振兴##重点解决好老年人居家养老等问题##老年人#,,韶关·乌石村,,"乡村振兴,重点解决好老年人居家养老等问题,老年人",11,3,4,2024-05-24 07:33,乡礼农品超话,"https://wx3.sinaimg.cn/large/0063MQxngy1hq08xflnj3j335c2d0kjn.jpg,https://wx2.sinaimg.cn/large/0063MQxngy1hq08xh3oylj335c2d0npe.jpg,https://wx3.sinaimg.cn/large/0063MQxngy1hq08xj0ei7j34cg39c4qs.jpg,https://wx2.sinaimg.cn/large/0063MQxngy1hq08xkm3i0j335c2d01kz.jpg,https://wx3.sinaimg.cn/large/0063MQxngy1hq08xmkdenj34cg39cqv7.jpg,https://wx1.sinaimg.cn/large/0063MQxngy1hq08xnrs8hj32dc2dc7wi.jpg",,,,黄V
5009663046978463,O43nythpR,5732509571,江科青年,#江小科分享##重点解决好老年人居家养老等问题##便捷养老#【#民政部部长谈中国人喜欢居家养老#：#让老年人在家门口享受便捷养老#】民政部部长陆治原：“据调查了解，大多数老年人还是愿意选择居家养老，这也是中国的传统。我们要顺应这一需求，为居家养老提供服务，提供家庭适老化改造；积极发展社区的嵌入式养老服务机构，发展老年人活动中心、老年食堂等，让老年人在家门口就可以养老，在家门口就能够享受到便捷的养老服务。”更多↓#今年两会第二场部长通道#（via:央视新闻）L央视新闻的微博视频,,南昌,,"江小科分享,重点解决好老年人居家养老等问题,便捷养老,民政部部长谈中国人喜欢居家养老,让老年人在家门口享受便捷养老,今年两会第二场部长通道",0,0,0,2024-03-08 14:43,微博视频号,,"http://f.video.weibocdn.com/o0/0F4i51sflx08d7usMee401041201dQqm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724989151&ssig=HZtNWDMhU7&KID=unistore,video",,,蓝V
5008166207095086,O3qritLKS,7529422198,全视通,#全视通#发布了头条文章：《全视通智慧社区&居家养老解决方案，积极响应城市居家适老化改造》物联网超话#智慧医康养#养老超话健康养老超话养老社区超话#年轻人的焦虑被养老社区的他们治愈了##社区养老##社区居家养老##近9成老人选择居家养老##重点解决好老年人居家养老等问题##居家养老需要解决哪些问题##多地探路居家养老社区#老人超话#一老一小##织密一老一幼民生保障网##智慧社区养老解决方案#智慧居家养老解决方案#智慧健康养老解决方案##智慧养老解决方案#O全视通智慧社区＆居家养老解决方案，积极响应城市居家适老化改造,,,,"全视通,智慧医康养,年轻人的焦虑被养老社区的他们治愈了,社区养老,社区居家养老,近9成老人选择居家养老,重点解决好老年人居家养老等问题,居家养老需要解决哪些问题,多地探路居家养老社区,一老一小,织密一老一幼民生保障网,智慧社区养老解决方案,智慧健康养老解决方案,智慧养老解决方案",0,0,0,2024-03-04 11:35,微博 weibo.com,,,,,蓝V
4987853830620626,NARtJ2Bs6,1553215662,滇池旅游度假区,#形成高效办成一件事常态化推进机制#【国务院常务会议：#重点解决好老年人居家养老等问题#】1月5日，国务院常务会议召开，研究发展银发经济、增进老年人福祉的政策举措，审议进一步优化政务服务、提升行政效能、推动“#高效办成一件事#”的指导意见，听取保障农民工工资支付情况汇报，讨论《中华人民共和国会计法（修正草案）》和《中华人民共和国能源法（草案）》，审议通过《碳排放权交易管理暂行条例（草案）》。会议强调，发展银发经济是积极应对人口老龄化、推动高质量发展的重要举措，既利当前又惠长远。要切实履行政府保基本、兜底线职责，加强老年人基本民生保障，增加基本公共服务供给。要运用好市场机制，充分发挥各类经营主体和社会组织作用，更好满足老年人多层次多样化需求，共同促进银发经济发展壮大。要持续完善相关政策措施，重点解决好老年人居家养老、就医用药、康养照护等急难愁盼问题，让老年人安享幸福晚年。会议指出，群众和企业对政府工作的满意度，与一件件具体的政务服务事项密切相关。要把“高效办成一件事”作为优化政务服务、提升行政效能的重要抓手，聚焦群众和企业反映集中的突出问题，加强协同配合，主动改革创新，借助数字技术等手段进一步优化办事流程、精简办事材料、提高办事效率，为人民群众带来更好的政务服务体验。要形成“高效办成一件事”常态化推进机制，每年梳理一批重点事项，及时复制推广地方和部门探索的好经验好做法，坚持不懈，狠抓落实，不断增强群众和企业的获得感。会议指出，春节前是农民工工资结算高峰期。要用心用情做好保障农民工工资支付工作，层层压实责任，加大工作力度，依法坚决打击恶意欠薪行为。要健全完善治理欠薪的长效机制，加强常态化监测评估和检查督促，推动保障农民工工资支付的各项制度和政策落实到位。会议决定将《中华人民共和国会计法（修正草案）》、《中华人民共和国能源法（草案）》提请全国人大常委会审议，审议通过《碳排放权交易管理暂行条例（草案）》。会议还研究了其他事项。O国务院常务会议：重点解决好老年人居家养老、就医用药等急难愁盼问题（@央视新闻）,,,央视新闻,"形成高效办成一件事常态化推进机制,重点解决好老年人居家养老等问题,高效办成一件事",0,0,0,2024-01-08 10:21,小米10 至尊纪念版,https://wx3.sinaimg.cn/large/5c9430aegy1hlm07n8gguj20dw0dwq3n.jpg,,,,蓝V
4987839127749548,NAR60ww0I,3846489597,昆明市西山区发布,#形成高效办成一件事常态化推进机制#【国务院常务会议：#重点解决好老年人居家养老等问题#】1月5日，国务院常务会议召开，研究发展银发经济、增进老年人福祉的政策举措，审议进一步优化政务服务、提升行政效能、推动“#高效办成一件事#”的指导意见，听取保障农民工工资支付情况汇报，讨论《中华人民共和国会计法（修正草案）》和《中华人民共和国能源法（草案）》，审议通过《碳排放权交易管理暂行条例（草案）》。会议强调，发展银发经济是积极应对人口老龄化、推动高质量发展的重要举措，既利当前又惠长远。要切实履行政府保基本、兜底线职责，加强老年人基本民生保障，增加基本公共服务供给。要运用好市场机制，充分发挥各类经营主体和社会组织作用，更好满足老年人多层次多样化需求，共同促进银发经济发展壮大。要持续完善相关政策措施，重点解决好老年人居家养老、就医用药、康养照护等急难愁盼问题，让老年人安享幸福晚年。会议指出，群众和企业对政府工作的满意度，与一件件具体的政务服务事项密切相关。要把“高效办成一件事”作为优化政务服务、提升行政效能的重要抓手，聚焦群众和企业反映集中的突出问题，加强协同配合，主动改革创新，借助数字技术等手段进一步优化办事流程、精简办事材料、提高办事效率，为人民群众带来更好的政务服务体验。要形成“高效办成一件事”常态化推进机制，每年梳理一批重点事项，及时复制推广地方和部门探索的好经验好做法，坚持不懈，狠抓落实，不断增强群众和企业的获得感。会议指出，春节前是农民工工资结算高峰期。要用心用情做好保障农民工工资支付工作，层层压实责任，加大工作力度，依法坚决打击恶意欠薪行为。要健全完善治理欠薪的长效机制，加强常态化监测评估和检查督促，推动保障农民工工资支付的各项制度和政策落实到位。会议决定将《中华人民共和国会计法（修正草案）》、《中华人民共和国能源法（草案）》提请全国人大常委会审议，审议通过《碳排放权交易管理暂行条例（草案）》。会议还研究了其他事项。O国务院常务会议：重点解决好老年人居家养老、就医用药等急难愁盼问题（@央视新闻）,,,央视新闻,"形成高效办成一件事常态化推进机制,重点解决好老年人居家养老等问题,高效办成一件事",0,2,2,2024-01-08 09:23,微博网页版,https://wx4.sinaimg.cn/large/e544c5fdgy1hlkxeex2xzj20dw0dw76j.jpg,,,,蓝V
4986914700787822,NAt303iWO,2656274875,央视新闻,#形成高效办成一件事常态化推进机制#【国务院常务会议：#重点解决好老年人居家养老等问题#】1月5日，国务院常务会议召开，研究发展银发经济、增进老年人福祉的政策举措，审议进一步优化政务服务、提升行政效能、推动“#高效办成一件事#”的指导意见，听取保障农民工工资支付情况汇报，讨论《中华人民共和国会计法（修正草案）》和《中华人民共和国能源法（草案）》，审议通过《碳排放权交易管理暂行条例（草案）》。会议强调，发展银发经济是积极应对人口老龄化、推动高质量发展的重要举措，既利当前又惠长远。要切实履行政府保基本、兜底线职责，加强老年人基本民生保障，增加基本公共服务供给。要运用好市场机制，充分发挥各类经营主体和社会组织作用，更好满足老年人多层次多样化需求，共同促进银发经济发展壮大。要持续完善相关政策措施，重点解决好老年人居家养老、就医用药、康养照护等急难愁盼问题，让老年人安享幸福晚年。会议指出，群众和企业对政府工作的满意度，与一件件具体的政务服务事项密切相关。要把“高效办成一件事”作为优化政务服务、提升行政效能的重要抓手，聚焦群众和企业反映集中的突出问题，加强协同配合，主动改革创新，借助数字技术等手段进一步优化办事流程、精简办事材料、提高办事效率，为人民群众带来更好的政务服务体验。要形成“高效办成一件事”常态化推进机制，每年梳理一批重点事项，及时复制推广地方和部门探索的好经验好做法，坚持不懈，狠抓落实，不断增强群众和企业的获得感。会议指出，春节前是农民工工资结算高峰期。要用心用情做好保障农民工工资支付工作，层层压实责任，加大工作力度，依法坚决打击恶意欠薪行为。要健全完善治理欠薪的长效机制，加强常态化监测评估和检查督促，推动保障农民工工资支付的各项制度和政策落实到位。会议决定将《中华人民共和国会计法（修正草案）》、《中华人民共和国能源法（草案）》提请全国人大常委会审议，审议通过《碳排放权交易管理暂行条例（草案）》。会议还研究了其他事项。O国务院常务会议：重点解决好老年人居家养老、就医用药等急难愁盼问题,,,,"形成高效办成一件事常态化推进机制,重点解决好老年人居家养老等问题,高效办成一件事",221,222,770,2024-01-05 20:09,微博网页版,https://wx1.sinaimg.cn/large/002TLsr9ly1hlj0cq3aqaj60dw0dwgs302.jpg,,,,
4987290536904454,NACPbsYaa,7012719728,中网冀安,//@九派新闻:【国务院常务会议：#重点解决好老年人居家养老等问题#】,,,九派新闻,重点解决好老年人居家养老等问题,0,0,770,2024-01-06 21:03,皮皮时光机,,,4986914700787822,,蓝V
4987288960109546,NACME0suS,7516679696,九派新闻,【国务院常务会议：#重点解决好老年人居家养老等问题#】,,,,重点解决好老年人居家养老等问题,3,0,770,2024-01-06 20:56,iPhone客户端,,,4986914700787822,,蓝V
4986928309210846,NAtoWCEa2,5342220662,应急管理部,#形成高效办成一件事常态化推进机制#【国务院常务会议：#重点解决好老年人居家养老等问题#】1月5日，国务院常务会议召开，研究发展银发经济、增进老年人福祉的政策举措，审议进一步优化政务服务、提升行政效能、推动“#高效办成一件事#”的指导意见，听取保障农民工工资支付情况汇报，讨论《中华人民共和国会计法（修正草案）》和《中华人民共和国能源法（草案）》，审议通过《碳排放权交易管理暂行条例（草案）》。会议强调，发展银发经济是积极应对人口老龄化、推动高质量发展的重要举措，既利当前又惠长远。要切实履行政府保基本、兜底线职责，加强老年人基本民生保障，增加基本公共服务供给。要运用好市场机制，充分发挥各类经营主体和社会组织作用，更好满足老年人多层次多样化需求，共同促进银发经济发展壮大。要持续完善相关政策措施，重点解决好老年人居家养老、就医用药、康养照护等急难愁盼问题，让老年人安享幸福晚年。会议指出，群众和企业对政府工作的满意度，与一件件具体的政务服务事项密切相关。要把“高效办成一件事”作为优化政务服务、提升行政效能的重要抓手，聚焦群众和企业反映集中的突出问题，加强协同配合，主动改革创新，借助数字技术等手段进一步优化办事流程、精简办事材料、提高办事效率，为人民群众带来更好的政务服务体验。要形成“高效办成一件事”常态化推进机制，每年梳理一批重点事项，及时复制推广地方和部门探索的好经验好做法，坚持不懈，狠抓落实，不断增强群众和企业的获得感。会议指出，春节前是农民工工资结算高峰期。要用心用情做好保障农民工工资支付工作，层层压实责任，加大工作力度，依法坚决打击恶意欠薪行为。要健全完善治理欠薪的长效机制，加强常态化监测评估和检查督促，推动保障农民工工资支付的各项制度和政策落实到位。会议决定将《中华人民共和国会计法（修正草案）》、《中华人民共和国能源法（草案）》提请全国人大常委会审议，审议通过《碳排放权交易管理暂行条例（草案）》。会议还研究了其他事项。O国务院常务会议：重点解决好老年人居家养老、就医用药等急难愁盼问题,,,,"形成高效办成一件事常态化推进机制,重点解决好老年人居家养老等问题,高效办成一件事",7,0,12,2024-01-05 21:03,,https://wx2.sinaimg.cn/large/005PxpDoly1hlj1wympqvj30ik0dwt99.jpg,,,,
