id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4553439097392311,Jmqc5v14P,5300122206,乐活昭通,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。L紧急呼叫的微博视频,,,,镇政府回应老人被强行送养老院,0,1,0,2020-09-26 16:12,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,黄V
4552733639585046,Jm7QfEdvw,5367768517,一瞬间video,云南镇雄以勒镇#镇政府回应老人被强行送养老院#：有提前沟通，为更好照顾老人。L一瞬间video的微博视频,,,,镇政府回应老人被强行送养老院,0,0,0,2020-09-24 17:29,微博视频号,,"http://f.video.weibocdn.com/Cbx4p5Zslx07GGzQCMYU01041200jLnS0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=BViBIEhTGe&KID=unistore,video",,,蓝V
4552696125721512,Jm6RKo0qs,3205737053,红狐视界,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。L紧急呼叫的微博视频,,,,镇政府回应老人被强行送养老院,0,0,0,2020-09-24 15:00,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,黄V
4552630884111599,Jm5awhfC7,1750353854,陕西交通广播,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。L紧急呼叫的微博视频,,,,镇政府回应老人被强行送养老院,0,0,0,2020-09-24 10:40,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,蓝V
4552628073142683,Jm55Zdbyr,3767371870,渭南市委政法委,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。@紧急呼叫L紧急呼叫的微博视频,,,紧急呼叫,镇政府回应老人被强行送养老院,0,0,0,2020-09-24 10:29,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,蓝V
4552628011275395,Jm55T5lMT,6050894051,正安县检察院,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。@紧急呼叫L紧急呼叫的微博视频,,,紧急呼叫,镇政府回应老人被强行送养老院,0,1,0,2020-09-24 10:29,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,蓝V
4552627692765341,Jm55nbBoh,6124642021,新京报我们视频,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。@紧急呼叫L紧急呼叫的微博视频,,,紧急呼叫,镇政府回应老人被强行送养老院,7,16,65,2020-09-24 10:28,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,蓝V
4552607433754551,Jm4yHfKJh,1951123110,紧急呼叫,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。L紧急呼叫的微博视频,,,,镇政府回应老人被强行送养老院,10,44,201,2020-09-24 09:07,微博视频号,,"http://f.video.weibocdn.com/mClVXXt6lx07GG1pqx7y01041200PUUM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019602&ssig=5cZCD5Qx9Y&KID=unistore,video",,,
4552611179799023,Jm4EJF7aL,3996792112,低糖时代V,#镇政府回应老人被强行送养老院#希望有些自媒体不要乱带节奏，这位老人有精神障碍且现场有攻击行为，事前也与家人沟通过,,,,镇政府回应老人被强行送养老院,0,0,201,2020-09-24 09:22,微博 weibo.com,,,4552607433754551,,蓝V
4552607702455263,Jm4z8aiJ1,1819638285,扬州交通广播,【#镇政府回应老人被强行送养老院#：有提前沟通为更好照顾老人】9月23日，云南镇雄以勒镇金钟社区王先生反映称，大哥被政府工作人员强行送进养老院。副镇长成赟回应称，事发前与亲属有过沟通，由于当事人存在智力障碍，现场有攻击行为，才从背后将其抱走。而送进养老院，也是为了给特殊供养人员提供更好的生活。O网页链接,,,,镇政府回应老人被强行送养老院,0,0,0,2020-09-24 09:08,360安全浏览器,,,,,蓝V
