id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4592902048583338,JCYO0A0UW,3260025321,聚焦大连,【#长沙一社区开设老人智能手机课堂#】健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，长沙一社区为社区老年居民开设智能手机课堂，讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。L天心发布的微博视频,,,,长沙一社区开设老人智能手机课堂,0,1,4,2021-01-13 13:44,微博视频号,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019484&ssig=Cygmh0wHBX&KID=unistore,video",,,普通用户
4592899784444629,JCYKmiEfz,3082106210,政府微助理,【#长沙一社区开设老人智能手机课堂#】健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，2021年1月12日，天心区金盆岭街道夏家冲社区老年大学邀请了五老志愿者李贞老师为社区老年居民讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。（via天心发布）L天心发布的微博视频,,,,长沙一社区开设老人智能手机课堂,0,0,0,2021-01-13 13:35,微博视频号,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019484&ssig=Cygmh0wHBX&KID=unistore,video",,,蓝V
4592898723553757,JCYIEeUuF,1740557654,金鹰955电台,【#长沙一社区开设老人智能手机课堂#】健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，2021年1月12日，天心区金盆岭街道夏家冲社区老年大学邀请了五老志愿者李贞老师为社区老年居民讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。（天心发布）L天心发布的微博视频,,,,长沙一社区开设老人智能手机课堂,0,0,0,2021-01-13 13:30,iPhone客户端,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019484&ssig=Cygmh0wHBX&KID=unistore,video",,,蓝V
4592856071672006,JCXBR70XQ,7307826391,这里是湖南,【#长沙一社区开设老人智能手机课堂# 】 健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，2021年1月12日，天心区金盆岭街道夏家冲社区老年大学邀请了五老志愿者李贞老师为社区老年居民讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。（via天心发布）L天心发布的微博视频,,,,长沙一社区开设老人智能手机课堂,0,0,1,2021-01-13 10:41,微博视频号,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019484&ssig=Cygmh0wHBX&KID=unistore,video",,,蓝V
4592854590558330,JCXzt2lfk,2311694415,新浪湖南,【#长沙一社区开设老人智能手机课堂# 】 健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，2021年1月12日，天心区金盆岭街道夏家冲社区老年大学邀请了五老志愿者李贞老师为社区老年居民讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。#小康天心的幸福密码# （via天心发布）L天心发布的微博视频,,,,"长沙一社区开设老人智能手机课堂,小康天心的幸福密码",10,12,54,2021-01-13 10:35,微博视频号,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019484&ssig=Cygmh0wHBX&KID=unistore,video",,,
4592855500459645,JCXAW1VzD,7520234145,KKkrissy,#长沙一社区开设老人智能手机课堂#,,,,长沙一社区开设老人智能手机课堂,0,0,54,2021-01-13 10:39,HUAWEI P30,,,4592854590558330,,普通用户
4592855462977746,JCXAScuEa,7520234145,KKkrissy,#长沙一社区开设老人智能手机课堂#我外婆应该挺喜欢这种小课堂,,,,长沙一社区开设老人智能手机课堂,0,0,54,2021-01-13 10:38,HUAWEI P30,,,4592854590558330,,普通用户
4592855174356351,JCXApihhJ,5771852842,TTTODA,#长沙一社区开设老人智能手机课堂#挺好的，有必要,,,,长沙一社区开设老人智能手机课堂,0,0,54,2021-01-13 10:37,HUAWEI P30,,,4592854590558330,,普通用户
4592855114842208,JCXAjkjG8,5771852842,TTTODA,#长沙一社区开设老人智能手机课堂#很有意义,,,,长沙一社区开设老人智能手机课堂,0,0,54,2021-01-13 10:37,HUAWEI P30,,,4592854590558330,,普通用户
4592854503262113,JCXzkdGCJ,6072764874,乐生活在长沙,【#长沙一社区开设老人智能手机课堂# 】 健康码、行程卡、网上预约……是疫情期老年人遇到的最现实的问题。为了解决老年人这一难题，2021年1月12日，天心区金盆岭街道夏家冲社区老年大学邀请了五老志愿者李贞老师为社区老年居民讲授智能手机操作课程，通过详细讲解和互动教学的方式，帮助老人学会手机上网聊天、使用电子健康码、挂号、拍摄小视频等新技能，助老人快速融入信息化时代。（via天心发布）L天心发布的微博视频,,,,长沙一社区开设老人智能手机课堂,1,1,3,2021-01-13 10:35,微博视频号,,"http://f.video.weibocdn.com/A3quuS5alx07JvHv3Ttm01041200b4HB0E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019487&ssig=A9yUqVPnXB&KID=unistore,video",,,黄V
