id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4651750566922002,KlIgEt2Jc,3708937547,湖南事儿,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,4,2,109,2021-06-24 23:07,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,红V
4651688407077775,KlGEotHfF,5645893201,湖南公安,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，@望城公安乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。L芒果都市的微博视频,,,望城公安,长沙望城警方帮老人追回数万养老钱,4,0,5,2021-06-24 19:00,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,蓝V
4651563194255743,KlDorhR71,5712137307,望城公安,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，@望城公安乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。#我为群众办实事#L芒果都市的微博视频,,,望城公安,"长沙望城警方帮老人追回数万养老钱,我为群众办实事",2,2,3,2021-06-24 10:42,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,蓝V
4651517849898795,KlCdiFx7Z,7343590696,米長粻,长沙那些事超话#长沙那些事#【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,"长沙那些事,长沙望城警方帮老人追回数万养老钱",0,0,1,2021-06-24 07:42,长沙那些事超话,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,黄V
4651365597184084,KlyfJu8Uk,2985052662,湖南老湘-瞰潇湘,#点亮大湖南#【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。#长沙#@芒果都市L芒果都市的微博视频,,,芒果都市,"点亮大湖南,长沙望城警方帮老人追回数万养老钱,长沙",1,0,0,2021-06-23 21:37,iPhone客户端,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,红V
4651354117377515,KlxXduXeb,6189830623,湖南风生水起,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,0,0,0,2021-06-23 20:51,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,黄V
4651354033752617,KlxX5fKe5,6571951431,潇湘发现,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,0,0,0,2021-06-23 20:51,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,黄V
4651352094936433,KlxTXkIbT,5951913760,三湘头条,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,0,0,0,2021-06-23 20:43,湖南超话,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,红V
4651347556697450,KlxMDs6jo,5973524327,快乐长沙,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,0,0,1,2021-06-23 20:25,iPhone 11 Pro Max(暗夜绿),,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,黄V
4651341307973485,KlxCyxsgB,6172885592,长沙曝哥,【#长沙望城警方帮老人追回数万养老钱#】6月22日上午，长沙望城警方通报破获一起入室盗窃案。今年5月下旬和6月初，嫌疑人刘某先后两次窜至望城乔口刘嗲嗲的房内，偷走了5.5万元现金。接警后，长沙乔口派出所通过多方调查，锁定并抓获了涉案嫌疑人。原来，嫌疑人刘某是刘嗲嗲孙子的朋友，因为手头缺钱见财起意行窃。@芒果都市L芒果都市的微博视频,,,芒果都市,长沙望城警方帮老人追回数万养老钱,1,0,1,2021-06-23 20:00,微博视频号,,"http://f.video.weibocdn.com/mmvEjAzUlx07NG7kU8lO010412011h190E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012907&ssig=4iwa1IyeTy&KID=unistore,video",,,黄V
