id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4556042886722013,JnvVKscHz,2741352357,又可以躺平了,#阿尔兹海默病老人开餐厅##忘不了餐厅#偶然机会看到了《忘不了餐厅》第一季只需一眼我已无法忘怀可爱的小敏爷爷爱笑的珠珠姨有童心的公主奶奶知性优雅的蒲公英奶奶认真的大乔爷爷这个节目没有铺天盖地的宣传但是却依旧牵动着我的心几乎每一集都会泪目越看越泪流满面对阿尔兹海默症患者也越来越理解越来越心疼阿尔兹海默症已经逐渐年轻化普遍化在不久的将来可能会有越来越多的老人甚至中年人患病新一季节目的先导片中店长们的衰老体验也更让我感受到了老年人身体的痛苦我真的无法想象无法想象将来有一天我的爷爷奶奶姥姥姥爷也会患病他们也已经老去但是随着年龄的增长身体机能也在逐步的退化我真的无法想象如果有一天我的爷爷奶奶姥姥姥爷……我不愿想也不敢想他们才60多岁他们的孙辈还没有长大他们的大孙女大外孙女还没有工作还没有结婚生子诞下后辈你们还没参加你们孙女外孙女的婚礼还没有看到曾孙辈还没听到他们喊你们一声曾祖你们千万不要千万不要早早离我们而去希望我的爷爷奶奶姥姥姥爷一定一定一定健健康康的快快乐乐的安度晚年等着我们长大行文至此我已泪流满面再看第二季我心中的触动也更加大愿人世再无病痛愿你我幸福安康,,,,"阿尔兹海默病老人开餐厅,忘不了餐厅",0,2,6,2020-10-03 20:38,HUAWEI Mate 30 5G,"https://wx1.sinaimg.cn/large/a365b7a5gy1gjcfeqrertj20u014043p.jpg,https://wx4.sinaimg.cn/large/a365b7a5gy1gjcferelg1j20sg15maiv.jpg",,,,普通用户
4554928510479983,Jn2Wn20RF,3130891323,和你做个伴,#阿尔兹海默病老人开餐厅#这次的节目让我感触颇深，阿尔兹海默症的老人们真的非常需要关心和照顾，他们可能不会想以前那样流利的交流，可能会忘记你们嘱托的事情，甚至可能忘记了你们的名字，但是，如果就连至亲都不能去理解和照顾他们，那他们的晚年会是何等凄凉，希望每一位患有阿尔兹海默症的爷爷奶奶能收到应有的陪伴和悉心的照料🙏,,,,阿尔兹海默病老人开餐厅,0,0,2,2020-09-30 18:50,HUAWEI Mate 30 5G,"https://wx2.sinaimg.cn/large/ba9d9c3bly1gj8vb5i4z7j20zk0np43x.jpg,https://wx4.sinaimg.cn/large/ba9d9c3bly1gj8vb6d4drj218z0u0qc0.jpg",,,,普通用户
4554601930162797,JmUrD0GlL,6929756049,姚琛,很开心忘不了餐厅作为公益餐厅永久落地了，让更多人关注到了阿尔茨海默群体，这是一件非常温暖的事情❤️还记得在节目里和老宝贝们一起跳舞，玩得很开心，这也是我人生中一段非常难以忘怀的经历。相信#阿尔茨海默病老人开餐厅#能创造出更多美好又温暖的回忆,,,,阿尔茨海默病老人开餐厅,116404,20914,132226,2020-09-29 21:13,仓鼠侠iPhone客户端,"https://wx1.sinaimg.cn/large/007yYy6Rgy1gj7tjm7vtij30nm0fo77j.jpg,https://wx3.sinaimg.cn/large/007yYy6Rgy1gj7tjo223ej30nm0fqdi5.jpg,https://wx4.sinaimg.cn/large/007yYy6Rgy1gj7tjpqj2wj30aq0g40u7.jpg",,,,
4554891739277756,Jn1Z3CVze,7471074451,橙味儿琛多多,#阿尔兹海默病老人开餐厅##姚琛忘不了餐厅#爷爷奶奶会越来越好感谢相遇,,,,"阿尔兹海默病老人开餐厅,姚琛忘不了餐厅",0,0,132226,2020-09-30 16:24,OPPO A8,,,4554601930162797,,普通用户
4554830620137829,Jn0ou0zR3,7348244995,Orangeooos,我今天看见忘不了这三个字就好想哭睡前看第二季收官的时候就哭的稀里哗啦刚醒来就看到念念的这条微博明明才开始怎么就结束了呢不过一个好消息是忘不了有实体餐厅了#阿尔兹海默病老人开餐厅#我已经截图啦！一定要去，会不会有招牌红烧肉呀，看了两季一直心心念的食物#忘不了餐厅#我们也在等待和你们的重逢@腾讯视频忘不了餐厅,,,腾讯视频忘不了餐厅,"阿尔兹海默病老人开餐厅,忘不了餐厅",0,0,0,2020-09-30 12:21,iPhone 8,"https://wx4.sinaimg.cn/large/0081iuczly1gj8jzf8fgdj30ku112e82.jpg,https://wx2.sinaimg.cn/large/0081iuczly1gj8k0vznutj31ps1acu13.jpg",,,,普通用户
4554577968105478,JmTOYy0Bw,2110705772,微博综艺,#阿尔茨海默病老人开餐厅##忘不了餐厅#今晚迎来收官，店长@黄渤也宣布餐厅将正式落地，未来将持续为更多的阿尔茨海默病老人提供帮助与陪伴。面对收官非常不舍，但落幕不打烊，爱与陪伴的故事将在这里续写，为超有意义的餐厅点赞L微博综艺的微博视频,,,黄渤,"阿尔茨海默病老人开餐厅,忘不了餐厅",46,44,1051,2020-09-29 19:37,微博视频号,,"http://f.video.weibocdn.com/0023RQP3gx07GOBP3GhF010412007xjO0E010.mp4?label=mp4_ld&template=638x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1725008286&ssig=NsmUwLQ1ZA&KID=unistore,video",,,
4554643881071871,JmVxi4uQf,5818698155,顾以空_,#阿尔兹海默病老人开餐厅#忘不了餐厅，忘不忘，我说了算！,,,,阿尔兹海默病老人开餐厅,0,0,1051,2020-09-29 23:59,,,,4554577968105478,,黄V
4554633651423050,JmVgN5Ycq,7477727228,壶联网冲浪金牌选手,#阿尔兹海默病老人开餐厅#❤️#正能量偶像姚琛#和宝贝一起祝爷爷奶奶身体健康@R1SE-姚琛,,,R1SE-姚琛,"阿尔兹海默病老人开餐厅,正能量偶像姚琛",0,0,132226,2020-09-29 23:19,vivo X21屏幕指纹手机,,,4554601930162797,,黄V
4554624097594628,JmV1nvRI0,6687226173,我怎么可能不会瘦呢,#阿尔兹海默病老人开餐厅#,,,,阿尔兹海默病老人开餐厅,0,0,132226,2020-09-29 22:41,vivo S1 Pro 升降自拍,,,4554601930162797,,黄V
4554618053591131,JmURDf4dt,6213875901,陈瑞豪Jeffrey小杰,这一季的节目收官了，感觉过得好快啊。每次看节目的时候都会让我回想起在餐厅和大家相处的点点滴滴。这一季的节目也收获了很多新的感动和感悟。还记得第一天看到爷爷奶奶们的状态，真的为之后的录制捏一把汗。之后的录制中，爷爷奶奶也会经常突然忘记自己在录制，想要回家。但是随着我们录制的进行，明显能够看出爷爷奶奶的状态越来越好，人也开朗了很多。这让我真实得感受到这个病症是完全可以改善的，也让我觉得我们正在做的事真的很有意义。虽然这一季的节目结束了，但是我们的餐厅还会继续营业下去，这真的是太棒了。我希望我们餐厅的爷爷奶奶，可以一直像录制时候这样开心。也希望更多有同样病症的爷爷奶奶可以得到大家的关注和关怀，能够更好的生活。最后希望大家继续多多支持我们的餐厅！#阿尔兹海默病老人开餐厅#,,,,阿尔兹海默病老人开餐厅,7,33,247,2020-09-29 22:17,iPhone XR,"https://wx1.sinaimg.cn/large/006MwMYRgy1gj7v4e2z3rj33rm2ifqv8.jpg,https://wx1.sinaimg.cn/large/006MwMYRgy1gj7vrnl83lj344x2bs1l7.jpg,https://wx3.sinaimg.cn/large/006MwMYRgy1gj7vrpg4s0j30u01407b8.jpg,https://wx3.sinaimg.cn/large/006MwMYRgy1gj7v4jwg97j33402c0b2e.jpg",,,,黄V
4554614756614837,JmUMjrKOV,7145816001,橘栀酒柠,#姚琛忘不了餐厅#yc#阿尔兹海默病老人开餐厅#住爷爷奶奶越来越好❤️请大家关注阿尔兹海默症这个群体@R1SE-姚琛,,,R1SE-姚琛,"姚琛忘不了餐厅,阿尔兹海默病老人开餐厅",0,0,132226,2020-09-29 22:04,AI实力派 vivo Z1,,,4554601930162797,,黄V
4554599052353217,JmUmZ9Sb7,5909185172,拜托啦学妹,憋了好久终于可以发了。特别难忘的回忆！我和妈妈姐姐去黄渤哥的《忘不了餐厅》吃了一顿午餐。十多年前我的妈妈就已经查出阿兹海默症，眼见着妈妈一点一点从仿佛无事不能的女强人，到忘记昨天发生的事，到忘记自己的年龄生日，到忘记怎么写字，到忘记一分钟前吃了什么，到一不小心就走丢，到弄混我和姐姐的姓名…虽然十多年来无论我们多么努力治疗，仍感受到了不可逆的重重的无力感。但看着妈妈每天无忧无虑像个天真烂漫的孩子，有时也觉得，妈妈会很快记不得曾经挚友和亲人的接连离世，记不住伤心难过的事情，是不是至少也会少经历一些悲伤？之前第一次看到《忘不了餐厅》，就觉得这真是一个特别有意义的节目。阿兹海默症的老人很可能会上错菜，但顾客都不会发火投诉，反而会期待送来的是什么。当时我就在想，要是有钱了，我也好想开一家这样的餐厅！#阿尔兹海默病老人开餐厅#没想到第二季机缘巧合妈妈居然能参与选角，我可太兴奋啦！可惜妈妈病情太重没法应聘成功成为服务生，只能作为顾客去体验午餐，那也很满足了！节目中妈妈对黄渤老师说，她不是第一次来了，觉得渤哥的餐厅开得很好，以前就经常来吃（记忆错乱了，其实第一次来）渤哥打趣地顺着妈妈的话寒暄，假装这是真的。那个瞬间觉得渤哥好暖。还有我们桌的服务生小敏爷爷，说起自己和老伴儿的爱情就满脸洋溢着甜蜜，撒狗粮的样子太可爱了！还有没想到的是，那天我的妆面成功引起了祖儿的注意，还拿我的蓝色眼线笔给陈赫化了个和我一样的妆这大概是我们吃得最有意义的一顿午餐了，这个餐厅承载着我们对妈妈的爱和回忆，承载着大家对500万阿兹海默症群体的关爱。希望忘不了餐厅真的能对外营业，那我一定会一直一直去的！妈妈，你可以忘记全世界，但我真的不想你忘记我,,,,阿尔兹海默病老人开餐厅,520,172,1888,2020-09-29 21:01,iPhone 11 Pro,"https://wx3.sinaimg.cn/large/006rUl0gly1gj7t5j4hk3j60sg15m7jx02.jpg,https://wx2.sinaimg.cn/large/006rUl0gly1gj7t5xosbwj634022oe8202.jpg,https://wx2.sinaimg.cn/large/006rUl0gly1gj7t5jrsytj617z266b2902.jpg,https://wx4.sinaimg.cn/large/006rUl0gly1gj7t5m9451j6190280e8102.jpg,https://wx3.sinaimg.cn/large/006rUl0gly1gj7t5kbwgij61902804qp02.jpg,https://wx3.sinaimg.cn/large/006rUl0gly1gj7t5l3k8fj618n27de8102.jpg,https://wx3.sinaimg.cn/large/006rUl0gly1gj7th9i6zvj60hs0dct9v02.jpg,https://wx2.sinaimg.cn/large/006rUl0gly1gj7th9ufnoj60hs0nu0ug02.jpg,https://wx4.sinaimg.cn/large/006rUl0gly1gj7th9oce2j60hs0dcjs902.jpg",,,,黄V
4554561878760059,JmTp1AKTh,2869567684,张叶蕾Leafy,"很开心能参与""忘不了餐厅""的节目录制，看着爷爷奶奶们，突然生出了很多感触得了阿尔兹海默病的人，就像在黑夜里独行，身旁的灯一盏一盏的熄灭，最后只剩自己在无垠的黑暗中踱步，我希望大家能多多关注阿尔兹海默病，多多去爱自己身边的老人，爱会化作星星""一闪一闪亮晶晶""，灯灭了，没关系星星还在✨✨✨#阿尔兹海默病老人开餐厅#",,,,阿尔兹海默病老人开餐厅,156,886,3191,2020-09-29 18:33,小米9,"https://wx4.sinaimg.cn/large/ab0a20c4ly1gj7ou0lb16j21900u01eo.jpg,https://wx2.sinaimg.cn/large/ab0a20c4ly1gj7ou23em5j21900u0to2.jpg,https://wx4.sinaimg.cn/large/ab0a20c4ly1gj7ou673mnj21bu0u0wul.jpg",,,,黄V
4554532845784277,JmSEcogKN,1767767622,itiszz咩,忘不了老人们的暖心笑容忘不了店员的细致关照忘不了菜品的色味俱佳但更让我印象深刻的是看起来木讷的朴爷爷只为拾壹一句“咬不动”温柔地剥了一整个鸡腿的肉也许本身就有疾病的老人或许更迫切地想证明自己“我还可以有点贡献”《忘不了餐厅》给了他们展现自己的平台也让我们了解其实我们还有很多事可以做#阿尔兹海默病老人开餐厅#,,,,阿尔兹海默病老人开餐厅,0,0,1,2020-09-29 16:38,iPhone,"https://wx3.sinaimg.cn/large/695dfe46gy1gj7lzbiyioj20u01m34qq.jpg,https://wx1.sinaimg.cn/large/695dfe46gy1gj7lzd82quj20u01hc4qq.jpg,https://wx3.sinaimg.cn/large/695dfe46gy1gj7lzf68kaj21900u0b2d.jpg,https://wx2.sinaimg.cn/large/695dfe46gy1gj7lzcx907j20u0140e81.jpg",,,,普通用户
