id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4646321091510863,Kjr1r6l2L,3962685976,大海6795骑马游览杭州湾跨海大桥,头条新闻工作室超话大海6795骑马游览杭州湾跨海大桥来投稿发表文章：【#陕西一老人乘出租车用皮带勒司机#派出所：调解后司机不追究老人责任】5月15日，陕西延安，一名老人乘坐出租车时突然用皮带勒出租车司机脖子。出租车司机随后下车，踹了男子。据张家滩派出所工作人员介绍，乘车老人和司机认识，也有过合作关系。派出所调解后解决了此事，出租车司机表示不追究乘车老人的责任了。#派出所回应老人乘出租车用皮带勒司机#L沸点视频的微博视频【大海题】,,上海·徐汇新城Ⅲ期,,"陕西一老人乘出租车用皮带勒司机,派出所回应老人乘出租车用皮带勒司机",0,0,0,2021-06-09 23:32,头条新闻工作室超话,,"http://f.video.weibocdn.com/y2I808mPlx07MJrw18qs01041200kclu0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=Sgi8tkoc%2Bq&KID=unistore,video",,,普通用户
4643439108426871,Kie34zmdh,3962685976,大海6795骑马游览杭州湾跨海大桥,头条新闻工作室超话大海6795骑马游览杭州湾跨海大桥来投稿发表文章：【#陕西一老人乘出租车用皮带勒司机#派出所：调解后司机不追究老人责任】5月15日，陕西延安，一名老人乘坐出租车时突然用皮带勒出租车司机脖子。出租车司机随后下车，踹了男子。据张家滩派出所工作人员介绍，乘车老人和司机认识，也有过合作关系。派出所调解后解决了此事，出租车司机表示不追究乘车老人的责任了。#派出所回应老人乘出租车用皮带勒司机#L沸点视频的微博视频【大海题】,,上海·徐汇新城Ⅲ期,,"陕西一老人乘出租车用皮带勒司机,派出所回应老人乘出租车用皮带勒司机",0,0,0,2021-06-02 00:40,头条新闻工作室超话,,"http://f.video.weibocdn.com/y2I808mPlx07MJrw18qs01041200kclu0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=Sgi8tkoc%2Bq&KID=unistore,video",,,普通用户
4638974632528196,KglUjaBHm,6367068899,长春互动,5月15日，#陕西一老人乘出租车用皮带勒司机#，出租车司机随后下车，踹了老人。警方称，双方已私下调解。@范辰律师认为，老人的行为涉嫌妨害安全驾驶罪，以及或涉嫌故意杀人未遂，但需进一步调查。司法机关应继续追责，不以当事人调解而终止。L沸点说法的微博视频,,,范辰律师,陕西一老人乘出租车用皮带勒司机,0,0,1,2021-05-20 17:00,微博视频号,,"http://f.video.weibocdn.com/5V4Vw1LKlx07MKxZvgNG01041200MGMK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=1OCLQRYuve&KID=unistore,video",,,黄V
4638695560844461,KgeEc3xGl,2520410823,陕西身边事,【#律师称老人用皮带勒司机不该私了#：涉嫌故意杀人未遂司法机关可追责】5月15日，#陕西一老人乘出租车用皮带勒司机#，出租车司机随后下车，踹了老人。警方称，双方已私下调解。@范辰律师认为，老人的行为涉嫌妨害安全驾驶罪，以及或涉嫌故意杀人未遂，但需进一步调查。司法机关应继续追责，不以当事人调解而终止。@沸点说法L沸点说法的微博视频,,延安,"范辰律师,沸点说法","律师称老人用皮带勒司机不该私了,陕西一老人乘出租车用皮带勒司机",0,0,0,2021-05-19 22:31,iPhone客户端,,"http://f.video.weibocdn.com/5V4Vw1LKlx07MKxZvgNG01041200MGMK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=1OCLQRYuve&KID=unistore,video",,,蓝V
4638602350300483,KgcdR1gav,3608830371,污盟主,#陕西一老人乘出租车用皮带勒司机#L污盟主的微博视频,,,,陕西一老人乘出租车用皮带勒司机,1,2,12,2021-05-19 16:20,坐稳带你飞Android,,"http://f.video.weibocdn.com/002V8wq8gx07MMwefh9t010412009D5O0E010.mp4?label=mp4_hd&template=624x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=TVJbhSVhuM&KID=unistore,video",,,金V
4638551045834085,KgaT6otI9,5697137444,汉中事儿,【#律师称老人用皮带勒司机不该私了#：涉嫌故意杀人未遂司法机关可追责】5月15日，#陕西一老人乘出租车用皮带勒司机#，出租车司机随后下车，踹了老人。警方称，双方已私下调解。@范辰律师认为，老人的行为涉嫌妨害安全驾驶罪，以及或涉嫌故意杀人未遂，但需进一步调查。司法机关应继续追责，不以当事人调解而终止。(沸点说法）#大秦观察#L沸点说法的微博视频,,延安,范辰律师,"律师称老人用皮带勒司机不该私了,陕西一老人乘出租车用皮带勒司机,大秦观察",0,0,2,2021-05-19 12:56,微博视频号,,"http://f.video.weibocdn.com/5V4Vw1LKlx07MKxZvgNG01041200MGMK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=1OCLQRYuve&KID=unistore,video",,,红V
4638536747717443,Kgaw2wnET,3281998402,咸阳身边事,#陕西一老人乘出租车用皮带勒司机#【没这么闹的#出租车行驶中司机被乘客用皮带勒脖#民警：双方认识，的哥不追究】#行驶中司机被乘客用皮带勒脖#5月15日，陕西延安。网曝一男子坐出租车，用皮带勒司机脖子引发网友关注。视频显示，出租车内后排乘客，突然拿皮带勒住司机脖子，司机用力挣脱。随后，出租车司机下车踹了男子，男子和出租车司机发生争吵。司机报警后民警介入调查，经查，乘车男子和司机认识，两人此前有过合作，当日男子喝了酒，自称为何有这样的举动自己也不清楚。因司机表示不追究乘车男子责任，警方没有对此进行立案。L时间视频的微博视频,,,,"陕西一老人乘出租车用皮带勒司机,出租车行驶中司机被乘客用皮带勒脖,行驶中司机被乘客用皮带勒脖",0,0,1,2021-05-19 12:00,微博视频号,,"http://f.video.weibocdn.com/D1pHLsaJlx07MJvadLOE01041200GwMs0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=V5dkQxoCYL&KID=unistore,video",,,黄V
4638514853185188,Kg9WJdmC0,6539333798,丝路咸阳,#陕西一老人乘出租车用皮带勒司机#【没这么闹的#出租车行驶中司机被乘客用皮带勒脖#民警：双方认识，的哥不追究】#行驶中司机被乘客用皮带勒脖#5月15日，陕西延安。网曝一男子坐出租车，用皮带勒司机脖子引发网友关注。视频显示，出租车内后排乘客，突然拿皮带勒住司机脖子，司机用力挣脱。随后，出租车司机下车踹了男子，男子和出租车司机发生争吵。司机报警后民警介入调查，经查，乘车男子和司机认识，两人此前有过合作，当日男子喝了酒，自称为何有这样的举动自己也不清楚。因司机表示不追究乘车男子责任，警方没有对此进行立案。L时间视频的微博视频,,,,"陕西一老人乘出租车用皮带勒司机,出租车行驶中司机被乘客用皮带勒脖,行驶中司机被乘客用皮带勒脖",0,4,11,2021-05-19 10:33,微博视频号,,"http://f.video.weibocdn.com/D1pHLsaJlx07MJvadLOE01041200GwMs0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377033&ssig=V5dkQxoCYL&KID=unistore,video",,,蓝V
4638503047004604,Kg9DGtodu,5629741139,东丽检察,【#律师称老人用皮带勒司机不该私了#：涉嫌故意杀人未遂司法机关可追责】5月15日，#陕西一老人乘出租车用皮带勒司机#，出租车司机随后下车，踹了老人。警方称，双方已私下调解。@范辰律师认为，老人的行为涉嫌妨害安全驾驶罪，以及或涉嫌故意杀人未遂，但需进一步调查。司法机关应继续追责，不以当事人调解而终止。@沸点说法L沸点说法的微博视频,,,"范辰律师,沸点说法","律师称老人用皮带勒司机不该私了,陕西一老人乘出租车用皮带勒司机",0,0,0,2021-05-19 09:46,微博视频号,,"http://f.video.weibocdn.com/5V4Vw1LKlx07MKxZvgNG01041200MGMK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377035&ssig=ovRZku3ZTN&KID=unistore,video",,,蓝V
4638472252162170,Kg8Q194tI,5742577881,花记者,【#延安##陕西一老人乘出租车用皮带勒司机#派出所：调解后司机不追究老人责任】5月15日，陕西延安，一名老人乘坐出租车时突然用皮带勒出租车司机脖子。出租车司机随后下车，踹了男子。据张家滩派出所工作人员介绍，乘车老人和司机认识，也有过合作关系。派出所调解后解决了此事，出租车司机表示不追究乘车老人的责任了。#派出所回应老人乘出租车用皮带勒司机#L沸点视频的微博视频2西安·龙首原,,延安,,"延安,陕西一老人乘出租车用皮带勒司机,派出所回应老人乘出租车用皮带勒司机",0,1,1,2021-05-19 07:43,微博视频号,,"http://f.video.weibocdn.com/y2I808mPlx07MJrw18qs01041200kclu0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725377035&ssig=V0E4oW2jFW&KID=unistore,video",,,普通用户
