id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4961019183236620,NpBo2dzZy,1233302995,李连源,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。via.L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,1,0,2023-10-26 09:10,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,黄V
4960870628069369,NpxwqxRd7,2360753230,狐狸幂最爱的大宝贝,#陕西省已进入中度老龄化社会#现在干养老行业来得及吗？,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 23:19,Xiaomi 13,,,,,普通用户
4960764177680336,NpuKJwe0o,2520410823,陕西身边事,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。（西部网）L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 16:16,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,蓝V
4960753657839702,NputLwTsO,2071422087,三秦生活,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。via.L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 15:35,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,蓝V
4960734084072557,NptYch5sp,2162541102,新浪陕西,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。（西部网）L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 14:17,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,蓝V
4960728765435366,NptPCmNZc,5872960861,西北信息报,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。L西部网的微博视频,,,,陕西省已进入中度老龄化社会,2,3,7,2023-10-25 13:56,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,蓝V
4960706301002450,Nptfo4cMy,1992052467,辉煌9775,#陕西省已进入中度老龄化社会#有什么关系呢！地球没了谁都可以！,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 12:26,荣耀80 5G,,,,,普通用户
4960704580027578,NptcC07aO,7569665859,三秦房管家,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。via.L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 12:20,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013274&ssig=j7foGFNxKf&KID=unistore,video",,,蓝V
4960704571641312,NptcB6SYM,7749729515,山茶花开时_n,#陕西省已进入中度老龄化社会#啊啊啊啊啊啊啊啊,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 12:19,,,,,,红V
4960696795400997,Npt03mF2R,1720832831,玩机一直爽一直玩机一直爽,#陕西省已进入中度老龄化社会#什么意思811万多还是少？如果嫌多为什么95年到2005年10年期间大力推进计划生育不让超生现在不是脱裤子放屁吗？,,,,陕西省已进入中度老龄化社会,0,0,4,2023-10-25 11:49, iPhone客户端,,,,,普通用户
4960669754984902,NpsirkUNE,6027731978,西安微博房产,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。via.L西部网的微博视频,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-25 10:01,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013276&ssig=f%2BcCGngcUd&KID=unistore,video",,,蓝V
4960644426631313,NprDArP6F,5646802423,晚春的树,#陕西省已进入中度老龄化社会#好好好好好好好好好好好好太漂亮了是什么原因我相信他家心里都明白,,,,陕西省已进入中度老龄化社会,0,0,2,2023-10-25 08:20,iPhone客户端,,,,,普通用户
4960493439817360,NpnI3FbWw,5544721911,西安城事儿,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%。L西部网的微博视频,,,,陕西省已进入中度老龄化社会,1,1,2,2023-10-24 22:21,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013276&ssig=f%2BcCGngcUd&KID=unistore,video",,,黄V
4960479141431599,Npnl060qj,5697137444,汉中事儿,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%，超过全国平均值。在陕西省已经步入中度老龄社会。#陕西生活记录##陕西60岁以上老年人口超800万#L西部网的微博视频,,,,"陕西省已进入中度老龄化社会,陕西生活记录,陕西60岁以上老年人口超800万",0,2,1,2023-10-24 21:24,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013276&ssig=f%2BcCGngcUd&KID=unistore,video",,,红V
4960458017869596,NpmMVx1eY,2643743024,陕西新鲜事儿,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%，超过全国平均值。在陕西省已经步入中度老龄社会。#陕西60岁以上老年人口超800万#L西部网的微博视频,,,,"陕西省已进入中度老龄化社会,陕西60岁以上老年人口超800万",0,0,0,2023-10-24 20:00,Android,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013276&ssig=f%2BcCGngcUd&KID=unistore,video",,,黄V
4960456936000314,NpmLbpaXg,7503136804,Finraa,#陕西省已进入中度老龄化社会#好好好。,,,,陕西省已进入中度老龄化社会,0,0,0,2023-10-24 19:55,vivo X6S Plus,,,,,黄V
4960455926484691,NpmJyrcXN,2739147702,西安大明宫遗址区,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%，超过全国平均值。在陕西省已经步入中度老龄社会。#陕西60岁以上老年人口超800万#L西部网的微博视频,,,,"陕西省已进入中度老龄化社会,陕西60岁以上老年人口超800万",0,0,0,2023-10-24 19:51,iPhone客户端,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013276&ssig=f%2BcCGngcUd&KID=unistore,video",,,蓝V
4960435892653592,Npmdfb8jS,3606500587,河南都市频道公益现场,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%，超过全国平均值。在陕西省已经步入中度老龄社会。#陕西60岁以上老年人口超800万#@西部网L西部网的微博视频,,,西部网,"陕西省已进入中度老龄化社会,陕西60岁以上老年人口超800万",0,0,0,2023-10-24 18:32,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013277&ssig=Fd%2BZpn7ZEC&KID=unistore,video",,,蓝V
4960426216655885,NplXDrVuZ,7520789718,铁骥视频科技频道,【#陕西省已进入中度老龄化社会#】10月23日上午，陕西省民政厅召开推进全省基本养老服务体系建设落实《陕西省养老服务条例》新闻通气会。据介绍，目前，陕西省60岁以上老年人口达811万人，占全省常住人口总数的20.5%，超过全国平均值。在陕西省已经步入中度老龄社会。#陕西60岁以上老年人口超800万#@西部网L西部网的微博视频,,,西部网,"陕西省已进入中度老龄化社会,陕西60岁以上老年人口超800万",0,0,0,2023-10-24 17:53,微博视频号,,"http://f.video.weibocdn.com/o0/AYl17fivlx089DjybClW010412003Fqw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013277&ssig=Fd%2BZpn7ZEC&KID=unistore,video",,,蓝V
