id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4670027339141447,KtnJjCm6H,7350659182,大众论谈,#随州暴雨邻居背独居老人上山避险#【远亲不如近邻！暴雨突袭老人独自在家被困屋内，邻居背其上山避险】8月12日湖北随州，上午10点左右，随州市曾都区河店镇降下暴雨，村民家中被淹水流湍急，村民紧急转移到山上。由于儿子儿媳不在家，独自在家的老人被困在房屋里无法撤离。热心邻居詹先生看到后，在同伴的协助下将老人背上了山L星视频的微博视频,,,,随州暴雨邻居背独居老人上山避险,0,0,0,2021-08-14 09:32,微博视频号,,"http://f.video.weibocdn.com/egP2R3OLlx07OZwGOoHC01041200yIp80E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=tnwwtq6CVy&KID=unistore,video",,,普通用户
4669758256973900,KtgJjtgeg,7126605018,各界新闻网官微,#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。L沸点视频的微博视频L沸点视频的微博视频,,,,"湖北暴雨,随州暴雨邻居背独居老人上山避险",0,1,2,2021-08-13 15:43,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=K78fQ7Pbvg&KID=unistore,video",,,蓝V
4669745641555426,KtgoY6wDw,2183542485,西安广播电视台,#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。L沸点视频的微博视频,,,,"湖北暴雨,随州暴雨邻居背独居老人上山避险",1,0,1,2021-08-13 14:53,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=K78fQ7Pbvg&KID=unistore,video",,,蓝V
4669740796354715,Ktgh9qF9p,2567569350,钦北检察,#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】,,,,"湖北暴雨,随州暴雨邻居背独居老人上山避险",0,0,0,2021-08-13 14:33,HUAWEI MatePad Pro,,,,,蓝V
4669738845734891,Ktge0o3Uf,1644855075,华商网,#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。L沸点视频的微博视频,,,,"湖北暴雨,随州暴雨邻居背独居老人上山避险",0,0,5,2021-08-13 14:26,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=K78fQ7Pbvg&KID=unistore,video",,,蓝V
4669730408107330,Ktg0oy15o,6418480627,星视频,#随州暴雨邻居背独居老人上山避险#【远亲不如近邻！暴雨突袭老人独自在家被困屋内，邻居背其上山避险】8月12日湖北随州，上午10点左右，随州市曾都区河店镇降下暴雨，村民家中被淹水流湍急，村民紧急转移到山上。由于儿子儿媳不在家，独自在家的老人被困在房屋里无法撤离。热心邻居詹先生看到后，在同伴的协助下将老人背上了山L星视频的微博视频,,,,随州暴雨邻居背独居老人上山避险,2,1,25,2021-08-13 13:52,微博视频号,,"http://f.video.weibocdn.com/egP2R3OLlx07OZwGOoHC01041200yIp80E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=tnwwtq6CVy&KID=unistore,video",,,蓝V
4669693018771798,Ktf25ANWC,6187055303,湖北政法,#湖北随州遭遇特大暴雨##邻居背独居八旬奶奶上山躲避洪涝#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。湖北政法：哪有从天而降的超人，多的是身边的平凡英雄！@中国长安网L沸点视频的微博视频,,,中国长安网,"湖北随州遭遇特大暴雨,邻居背独居八旬奶奶上山躲避洪涝,随州暴雨邻居背独居老人上山避险",1,0,2,2021-08-13 11:23,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=K78fQ7Pbvg&KID=unistore,video",,,蓝V
4669684865570494,KteOWnn8G,1894371930,凤凰网公益,#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。（via沸点）L沸点视频的微博视频,,,,"湖北暴雨,随州暴雨邻居背独居老人上山避险",1,0,14,2021-08-13 10:51,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013831&ssig=K78fQ7Pbvg&KID=unistore,video",,,蓝V
4669502355147696,Kta4zlB9m,1761106341,晓凯之恋,【#新星v计划##头号博主说##突发##突发新闻##新闻看点##湖北暴雨#远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。L沸点视频的微博视频,,随州,,"新星v计划,头号博主说,突发,突发新闻,新闻看点,湖北暴雨,随州暴雨邻居背独居老人上山避险",2,2,2,2021-08-12 22:46,微博视频号,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013832&ssig=V6hFD%2BseiK&KID=unistore,video",,,黄V
4669483312484072,Kt9zRaqdG,2010261880,社会与法频道阎肃,咔咔就是发超话#湖北暴雨#【远亲不如近邻！#随州暴雨邻居背独居老人上山避险#】8月12日，湖北随州遭遇暴雨突袭，街道水流湍急，水深过腰。村民紧急转移时，邻居詹先生不忘背起独居七旬老人。詹先生称，老人家人都不在家，大水来势凶猛，看到老人在家就将其背到山上避险。#微博放映厅#L沸点视频的微博视频,,随州,,"湖北暴雨,随州暴雨邻居背独居老人上山避险,微博放映厅",0,0,1,2021-08-12 21:30,咔咔就是发超话,,"http://f.video.weibocdn.com/FP0pZBNGlx07OYo9yHhC01041200yj9x0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013832&ssig=V6hFD%2BseiK&KID=unistore,video",,,红V
