id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5047717572643247,Ok1lPb5D1,6283807366,将心碧空,#建议大家有事没事就去面试#热茶一杯，回味不绝，六月，一杯清茶，足以寻觅人生的真味，心无杂念，拥有的是关于茶的记忆。余生岁月，愿你把茶融入生活中，手中沏的虽是茶，心中尝的却是生活，日子的改变，就从好好喝茶开始吧……#无人问津的日子也要好好生活##雷军建议帮助老年人融入数字生活##雷军建议考生高考后好好睡一觉#歌手2024超话#茶香中国##记录生活##记录生活点滴乐享人生色彩#长沙超话湖南卫视超话中国茶文化超话下午茶超话,,,,"建议大家有事没事就去面试,无人问津的日子也要好好生活,雷军建议帮助老年人融入数字生活,雷军建议考生高考后好好睡一觉,茶香中国,记录生活,记录生活点滴 乐享人生色彩",0,11,8,2024-06-21 14:58,下午茶超话,https://wx2.sinaimg.cn/large/006RgdlIgy1hqwzgtmi0rj30qa13ck48.jpg,,,湖南,普通用户
4696505317591234,KEuxJvQPg,1070482520,馨香留醉,#雷军建议帮助老年人融入数字生活#？,,,,雷军建议帮助老年人融入数字生活,0,0,0,2021-10-26 11:06,HUAWEI Mate 30,,,,,普通用户
4618018326318258,K7yJOqvFo,6185525166,南境云姐,因为种种原因，不得不在异乡拼搏的你，接到远方的父母打来的求助电话，手机出问题了，电视出问题了...心酸却仍要努力地远程去解决问题，如何能更好地解决问题呢，请看：《如何帮远方的父母解决智能设备、手机、电器问题呢？》#智能家居##小爱同学##雷军建议帮助老年人融入数字生活#@小米社区@小米星球编辑部@小米公司@米家App@小米智能生活O漂泊在异乡，如何帮远方的父母解决智能设备、手机、电器问题呢？,,,"小米社区,小米星球编辑部,小米公司,米家App,小米智能生活","智能家居,小爱同学,雷军建议帮助老年人融入数字生活",12,22,23,2021-03-23 21:07,微博 weibo.com,,,,,黄V
4613296684534562,K5zUgj1E6,6712129772,颜纨绔少年,的谜题。”#曜瑞飞双#沐圣恩抖着嘴唇，眼睛里的光#雷军建议帮助老年人融入数字生活#,,,,"曜瑞飞双,雷军建议帮助老年人融入数字生活",0,0,0,2021-03-10 20:25,微博 weibo.com,"https://wx3.sinaimg.cn/large/007kfpzCly1go9v5jvhc1j30gm0h3wf4.jpg,https://wx3.sinaimg.cn/large/007kfpzCly1go9v5k6chuj30gs0asjrv.jpg,https://wx3.sinaimg.cn/large/007kfpzCly1go9v5kf0tfj30cy091mxu.jpg",,,,普通用户
4612948892584135,K5qRjaQfB,6712129772,颜纨绔少年,“只可惜，你看不见，还按着以前的老路#鹏涛语梦#子欺负她，只会把她#雷军建议帮助老年人融入数字生活#,,,,"鹏涛语梦,雷军建议帮助老年人融入数字生活",0,0,0,2021-03-09 21:23,微博 weibo.com,"https://wx3.sinaimg.cn/large/007kfpzCly1go9v5cknq9j30cy091mxu.jpg,https://wx4.sinaimg.cn/large/007kfpzCly1go9v5cpjc7j305k05ka9x.jpg,https://wx4.sinaimg.cn/large/007kfpzCly1go9v5cx02sj30zk0m80v8.jpg,https://wx3.sinaimg.cn/large/007kfpzCly1go9v5d8ehjj30a00a0mx3.jpg,https://wx4.sinaimg.cn/large/007kfpzCly1go9v5dk2raj307l0dwq35.jpg,https://wx4.sinaimg.cn/large/007kfpzCly1go9v5dunwdj31400p0abq.jpg,https://wx2.sinaimg.cn/large/007kfpzCly1go9v5e0xxvj30hs0e8754.jpg,https://wx3.sinaimg.cn/large/007kfpzCly1go9v5e98kqj30hs0pumy8.jpg,https://wx1.sinaimg.cn/large/007kfpzCly1go9v5eeel3j305k05kjr8.jpg",,,,普通用户
4612886028092247,K5pdUxXa7,2828565592,是个童姥,那些不会用手机支付和健康码的老年人，过得怎么样？普及健康码，但给老人提供纸质通行证；自助挂号火车线上抢票，要给老人留下绿色通道；无现金社会，永远记得给一扇现金支付的窗口。我们终将成为老人，为现在的老人争取体面的活法，就是为未来的我们争取更有尊严的生活。#全国两会##雷军建议帮助老年人融入数字生活##百炼新秀##万有创作力##v光新星#L童姥-女孩别怕的微博视频,,,,"全国两会,雷军建议帮助老年人融入数字生活,百炼新秀,万有创作力,v光新星",25,11,231,2021-03-09 17:13,微博视频号,,"http://f.video.weibocdn.com/MwGFQtrelx07KXkBP4ze01041201hSKx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725168943&ssig=VLp7Fb9uEy&KID=unistore,video",,,黄V
4612878173474665,K5p1fezUZ,7096189920,第1眼视频,#全国两会#【扫码时代，别让老人“落在身后”】#微博等43款app将适老化改造#网络购物、微信红包、外卖点餐、扫码出行……如今这些年轻人习以为常的事物，在有些老年人眼中却遥不可及。据国家统计局2019年数据，60岁以上老年人上网比例占23%，四分之三未曾接触过网络，#雷军建议帮助老年人融入数字生活#你是否意识到老人被留在了身后？你愿意帮助他们吗？（编导：陽阳）L第1眼视频的微博视频,,,,"全国两会,微博等43款app将适老化改造,雷军建议帮助老年人融入数字生活",0,0,1,2021-03-09 16:42,微博视频号,,"http://f.video.weibocdn.com/QOg5ArpRlx07KXit6mw001041201TSJV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725168943&ssig=lUkr%2FdsDEd&KID=unistore,video",,,蓝V
4612804566319555,K5n6wqw0j,1886485981,Kim_0118,#雷军建议帮助老年人融入数字生活#对于那些有意愿的，想学习的老年人，可以找办法更加方便的学习。但是在还不完善的情况下，对于一些就是学不会，甚至就是不想学的老年人，不是想怎么迫使他们学，是想怎么让他们生活更自在。学会对于他们很难，但是不要光扫码，也可以收现金，对于我们来说，容易多了。,,,,雷军建议帮助老年人融入数字生活,0,0,0,2021-03-09 11:49,iPhone客户端,,,,,普通用户
4612770718287389,K5mdVyLVz,1807354704,顾维敏,“呵呵，以后还有机会的，不在乎这一个。”林蕾说着，看了赵铁柱一眼，说道，“有林蕾在，你这官司，可就好打了。”#宛丝昊磊##雷军建议帮助老年人融入数字生活#,,,,"宛丝昊磊,雷军建议帮助老年人融入数字生活",0,0,0,2021-03-09 09:35,微博 weibo.com,"https://wx1.sinaimg.cn/large/6bba0b50gy1goajuoeusoj20sg0lcab9.jpg,https://wx1.sinaimg.cn/large/6bba0b50gy1goajuordukj20eq0m83zd.jpg,https://wx2.sinaimg.cn/large/6bba0b50gy1goajup5h6dj20sg0izjsz.jpg,https://wx4.sinaimg.cn/large/6bba0b50gy1goajupoiq2j20sg0mrwh5.jpg,https://wx2.sinaimg.cn/large/6bba0b50gy1goajuq2h8wj20qo0gomy0.jpg,https://wx4.sinaimg.cn/large/6bba0b50gy1goajuqh35sj20t7103tc7.jpg,https://wx4.sinaimg.cn/large/6bba0b50gy1goajuqvje4j20sg0k3n08.jpg,https://wx1.sinaimg.cn/large/6bba0b50gy1goajurigm0j21c00u0qa9.jpg",,,,普通用户
4612645556322472,K5iY3qwLm,7566261000,河南大康锅炉有限公司,»™｡滤液储槽这么好用的锅炉，还有配套的反应釜，您确定不考虑一下。我们有蒸汽锅炉、热水锅炉、导热油炉、热风炉、开水炉。有燃气锅炉、燃油锅炉、电加热锅炉、生物质锅炉、燃煤锅炉等等。还有反应釜、搪瓷反应釜、不锈钢反应釜、储罐等等。您的同行、亲戚朋友、竞争对手都在用的好用的、省心、省钱的锅炉和反应釜。您也值得考虑一下。这么好用的锅炉，还有配套的反应釜，您确定不考虑一下。我们有蒸汽锅炉、热水锅炉、导热油炉、热风炉、开水炉。有燃气锅炉、燃油锅炉、电加热锅炉、生物质锅炉、燃煤锅炉等等。还有反应釜、搪瓷反应釜、不锈钢反应釜、储罐等等。您的同行、亲戚朋友、竞争对手都在用的好用的、省心、省钱的锅炉和反应釜。您也值得考虑一下。购买锅炉更好的选择是首先要选择正规企业生产的产品，其次，低于市场价的产品要慎重选择，咨询时候请先确定好生产厂家的资质以及产品的技术参数还有图纸。让厂家人员给您发一份资料。#华为高管回应涉足养猪传闻#赵丽颖超话滤液储槽热水锅炉主要用于供暖、洗浴以及工业化生产使用，主要有燃气热水锅炉、燃油热水锅炉、电加热热水锅炉、生物质热水锅炉、燃煤热水锅炉等等。可以根据自己的需求进行选择。O网页链接#雷军建议帮助老年人融入数字生活#，滤液储槽常见的锅炉类型主要是燃油气锅炉、电加热锅炉、生物质锅炉、燃煤锅炉等等。又分为蒸汽锅炉、热水锅炉、导热油炉、热风炉、开水锅炉等等。#鲜花价格猛涨#奔跑吧超话,,,,"华为高管回应涉足养猪传闻,雷军建议帮助老年人融入数字生活,鲜花价格猛涨",0,11,0,2021-03-09 01:17,微博 weibo.com,"https://wx3.sinaimg.cn/large/008g3g7Kly1god03prp5xj30go0ciaat.jpg,https://wx3.sinaimg.cn/large/008g3g7Kly1god03u2hslj30go0ci0th.jpg,https://wx4.sinaimg.cn/large/008g3g7Kly1god03yhqvqj30go0mgq3t.jpg,https://wx1.sinaimg.cn/large/008g3g7Kly1god042suerj30go0cd74z.jpg,https://wx2.sinaimg.cn/large/008g3g7Kly1god04783srj30go0ciaap.jpg,https://wx3.sinaimg.cn/large/008g3g7Kly1god04blu2xj30go0cdaat.jpg,https://wx1.sinaimg.cn/large/008g3g7Kly1god04g0aqsj30go0cit9f.jpg,https://wx2.sinaimg.cn/large/008g3g7Kly1god04kdefxj30go0cijrx.jpg,https://wx3.sinaimg.cn/large/008g3g7Kly1god04orlgcj30go0f6jrr.jpg",,,,普通用户
