id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4968338778489799,NsFNPzCAf,7736984604,雨巷彷徨200007,#龚俊霍言#龚俊#霍言打针二哈崩溃现场#龚俊#霍言冷静营救独居老人#龚俊#霍言火场逆行#O微博视界大会·微光荣耀,,,,"龚俊霍言,霍言打针 二哈崩溃现场,霍言冷静营救独居老人,霍言火场逆行",0,0,0,2023-11-15 13:55,小米手机,,,,湖北,普通用户
4911899374261591,N4ZyxhSDl,5651441574,霜色金黎,网剧你好火焰蓝超话霍言#霍言冷静营救独居老人#⚝#龚俊你好火焰蓝#霍言短短几句话，把案情的前因后果和对居民的请求讲得清清楚楚，有效表达真的可以事半功倍。这段值得反复观看，龚俊的台词真不错，霍言沉着冷静、谦虚有礼的形象一下子就立起来了。🔹L梗浮水暗-的微博视频,,,,"霍言冷静营救独居老人,龚俊你好火焰蓝",0,0,0,2023-06-12 20:05,网剧你好火焰蓝超话,,"http://f.video.weibocdn.com/nH3fuXe2lx07O83h8giI01041200woZy0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1726790516&ssig=0TvLbTDQuF&KID=unistore,video",,江苏,普通用户
4873466648203221,MuPcAyq21,6063533195,风篱悠悠,#你好火焰蓝#你好火焰蓝#龚俊霍言#龚俊#霍言打针二哈崩溃现场#龚俊#霍言冷静营救独居老人#龚俊#霍言火场逆行##龚俊你好火焰蓝#龚俊你好火焰蓝#龚俊霍言#龚俊霍言从籍籍无名到名声大噪，从零商代言到商务宠儿，从欢乐喜剧人到实力剧抛脸，他是演员龚俊@龚俊Simon，经过六年时间的摸爬滚打，他从青涩走向成熟，用不同的角色向我们展示千面的人生。期待网剧《你好！火焰蓝》，期待消防站站长霍言。,,,龚俊Simon,"你好火焰蓝,龚俊霍言,霍言打针 二哈崩溃现场,霍言冷静营救独居老人,霍言火场逆行,龚俊你好火焰蓝",0,1,0,2023-02-26 18:47,龚俊超话,,,,湖北,普通用户
4703832561681905,L1BHy73xv,3262820453,露露嘻诶呦麻油,消防知识学起来！！！#独居老人如何注意消防安全#霍言教你如何营救独居老人！#霍言冷静营救独居老人#,,,,"独居老人如何注意消防安全,霍言冷静营救独居老人",0,0,0,2021-11-15 16:22,nova7Pro你在焦点在,,,,,普通用户
4703757126338501,L1zJSqAVT,6543153703,俊楠子,#霍言冷静营救独居老人#又cue到我们龚俊饰演的霍言啦,,,,霍言冷静营救独居老人,0,0,0,2021-11-15 11:22,Redmi K20 Pro 尊享版,,,,,黄V
4703755889804140,L1zHSF8vi,2179284981,MI-hoo弥,龚俊@龚俊Simon在《你好，火焰蓝》里饰演的霍言提醒大家：“注意检查家里的消防隐患，不在家里囤积易燃可燃物品，定期检查电气线路，对老化的设备和线路及时更换。“⚡#霍言冷静营救独居老人#,,,龚俊Simon,霍言冷静营救独居老人,0,0,0,2021-11-15 11:17,林深的夫人HarmonyOS设备,,,,,普通用户
4666948203844483,Ks5CYg87N,7635716513,前行8菌,#龚俊敬礼#gj#霍言冷静营救独居老人#“火焰蓝x天使白”全体都有，灾情一出，救援刻不容缓！霍言@龚俊Simon组成抗震救灾队伍，开始奔赴新的“战场”,,,龚俊Simon,"龚俊敬礼,霍言冷静营救独居老人",0,0,0,2021-08-05 21:37,荣耀50 5G,,,,,普通用户
4664225094699161,KqWMRjIsV,3688660687,无所畏惧的松子,#龚俊你好火焰蓝#Gj#霍言冷静营救独居老人#火焰蓝，那一抹最美的颜色。是血与火的淬炼，是生与死的考验。让一道道生命安全防线固若金汤。龚俊@龚俊Simon,,,龚俊Simon,"龚俊你好火焰蓝,霍言冷静营救独居老人",1,36,0,2021-07-29 09:16,全世界最好的龚俊超话,https://wx3.sinaimg.cn/large/dbdc7ecfly1gsxjyq0wwyj20jz0zkq49.jpg,,,,普通用户
4664214239579502,KqWvlEc46,7534494622,流年非锦瑟,#龚俊你好火焰蓝#Gj#霍言冷静营救独居老人#火焰蓝，那一抹最美的颜色。是血与火的淬炼，是生与死的考验。让一道道生命安全防线固若金汤。龚俊@龚俊Simon,,,龚俊Simon,"龚俊你好火焰蓝,霍言冷静营救独居老人",0,30,0,2021-07-29 08:33,全世界最好的龚俊超话,https://wx2.sinaimg.cn/large/008dTYeOly1gsxipusy4qj30u01hbju6.jpg,,,,普通用户
4663283561532005,Kqyig6qxL,1642592432,新浪电视,《你好，火焰蓝》里晏蓝@张慧雯wen决定搬至小白@罗奕家中暂住，调侃以后没人养还有小白养自己，霍言@龚俊Simon顺势告白，一句“我养你”羞得晏蓝连忙下了车#霍言晏蓝恋爱素人感#太上头啦~这满满的自然恋爱氛围，拿来吧你！L浪里追剧的微博视频,,,"张慧雯wen,罗奕,龚俊Simon",霍言晏蓝恋爱素人感,1261,1237,8034,2021-07-26 18:55,微博视频号,,"http://f.video.weibocdn.com/PbsXAOSClx07OwQEb2eQ01041200tQry0E010.mp4?label=mp4_720p&template=1688x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1726791352&ssig=PtNEsrQqV%2F&KID=unistore,video",,,
4663525623205252,KqEAGdrPC,7572071297,波波奶昔,#霍言晏蓝恋爱素人感#GJ#霍言冷静营救独居老人#,,,,"霍言晏蓝恋爱素人感,霍言冷静营救独居老人",0,0,8034,2021-07-27 10:56,OPPO A5,,,4663283561532005,,普通用户
4663496095302942,KqDP3mfxk,7534494622,流年非锦瑟,#霍言冷静营救独居老人#Gj#龚俊的夏日心动特调#我是不是又多说话了？真丢人，真逗，你们怕不是忘记了当初他们是怎么说你哥哥的嘛，你们能化解，我化解不了，我嫌跟她们做同担恶心。,,,,"霍言冷静营救独居老人,龚俊的夏日心动特调",0,0,0,2021-07-27 08:59,OPPO A9x,https://wx4.sinaimg.cn/large/008dTYeOly1gsv87gh450j30qa0bqab2.jpg,,,,普通用户
4663248224257453,KqxnghRyB,7534494622,流年非锦瑟,#龚俊语音还原霍言收到#GJ#霍言冷静营救独居老人#龚俊@龚俊Simon：今天的蘑菇们一个个的怎么了，还能不能愉快的玩耍了。,,,龚俊Simon,"龚俊语音还原霍言收到,霍言冷静营救独居老人",0,0,0,2021-07-26 16:34,OPPO A9x,https://wx2.sinaimg.cn/large/008dTYeOly1gsufrtijgyj30qo0qoacj.jpg,,,,普通用户
