id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4872272119075783,Muk7VC51B,1735221154,城市晚报官方微博,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。（小央视频）L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,0,0,0,2023-02-23 11:40,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872265877951822,MujXRxmDc,3212590852,山亭发布,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,4,0,1,2023-02-23 11:16,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872263973999234,MujUNgMnM,1726276573,投中网,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。@小央视频http://t.cn/A6CqhV48,,,小央视频http,韩国将在2025年步入超老龄社会,0,3,1,2023-02-23 11:08,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872260793668699,MujPFfooz,2357213493,虎嗅APP,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。@小央视频L小央视频的微博视频,,,小央视频,韩国将在2025年步入超老龄社会,2,1,7,2023-02-23 10:55,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872249515444605,MujxtmQod,1732739184,合肥在线,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。（小央视频）L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,0,0,0,2023-02-23 10:11,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872247515547684,MujufnhcM,1645705403,国际在线,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。（小央视频）L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,1,0,0,2023-02-23 10:03,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872239587006084,MujhstoBm,3242792887,吉林日报,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。（小央视频）L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,0,0,0,2023-02-23 09:31,iPhone客户端,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019902&ssig=hNz%2Bzc06cS&KID=unistore,video",,,蓝V
4872239256439100,MujgVr16s,5332621750,微韩国,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,0,0,12,2023-02-23 09:30,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019903&ssig=hDmHMYufza&KID=unistore,video",,,蓝V
4872237079593293,MujdpEfEx,1797237782,美丽开远,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,0,0,0,2023-02-23 09:21,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019903&ssig=hDmHMYufza&KID=unistore,video",,,蓝V
4872236647058836,MujcItCkc,6362632222,小央视频,【#韩国将在2025年步入超老龄社会#】韩媒预计，韩国即将于2025年进入“超老龄社会”。受此影响，韩国有大批幼儿园因招不到生源倒闭。据韩媒报道，仅过去5年里，韩国就有近7000家幼儿园关门；相反，养老设施数量激增了20%。L小央视频的微博视频,,,,韩国将在2025年步入超老龄社会,4,1,5,2023-02-23 09:20,微博视频号,,"http://f.video.weibocdn.com/o0/JqOZi1Svlx083mOW54Y801041200Y26z0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019903&ssig=hDmHMYufza&KID=unistore,video",,,蓝V
