id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4612751668021957,K5lJcxESp,1913366611,河北新闻广播,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。（中国新闻网）,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-09 08:19,微博 weibo.com,,,,,蓝V
4612511008032479,K5ft2xHC7,1132428807,四川工人日报,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-08 16:23,360安全浏览器,https://wx1.sinaimg.cn/large/437f7e07gy1goccrdopf7j20j60as0uc.jpg,,,,蓝V
4612508742583266,K5fpoaQ1A,2052350073,鄂尔多斯发布,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。（来源：中国新闻网）,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-08 16:14,微博 weibo.com,https://wx4.sinaimg.cn/large/7a546079ly1gocinm4rurj20c806wdgf.jpg,,,,蓝V
4612496235431848,K5f5dmN4s,3197490802,科普指南,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-08 15:24,,https://wx3.sinaimg.cn/large/be95d672ly1gocizjkz97j21hc0u0dr1.jpg,,,,黄V
4612495152516891,K5f3tayL1,2288064900,华声在线,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。（中新网）,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-08 15:20,微博 weibo.com,https://wx3.sinaimg.cn/large/88611984gy1goccrhwl2rj20j60as0uc.jpg,,,,蓝V
4612441323866116,K5dEEgdKI,1784473157,中国新闻网,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",75,133,2001,2021-03-08 11:46,360安全浏览器,https://wx1.sinaimg.cn/large/001WLsZ7ly1goccoa0sn3j61hc0u0u1002.jpg,,,,
4612483917023358,K5eLltt5Y,1913359465,扬州网,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】,,,,预计十四五我国将进入中度老龄化阶段,0,0,2001,2021-03-08 14:35,微博网页版,,,4612441323866116,,蓝V
4612483543203888,K5eKKdrtC,3934655366,陇南文县司法,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,2001,2021-03-08 14:33,iPhone客户端,,,4612441323866116,,蓝V
4612483288138773,K5eKky9gx,6109428342,陕西政协,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,0,2021-03-08 14:32,HUAWEI P30 Pro,,,,,蓝V
4612471888021713,K5erWxEOt,2318910945,新浪热点,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。（中国新闻网）,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",7,5,26,2021-03-08 13:47,微博发布平台专业版,https://wx1.sinaimg.cn/large/002wVUFrly1gocg3k1nqzj61hc0u0dr102.jpg,,,,
4612476454568907,K5ezjjaA3,6396758409,贺州生态环境,【国家发改委：#预计十四五我国将进入中度老龄化阶段#】8日，国家发改委副主任胡祖才在国新办发布会上表示，在养老育幼方面，主要是完善“一老一小”服务体系。预计“十四五”我国将进入中度老龄化阶段。“十四五”规划《纲要草案》回应社会关切，将#积极应对人口老龄化上升为国家战略#。,,,,"预计十四五我国将进入中度老龄化阶段,积极应对人口老龄化上升为国家战略",0,0,26,2021-03-08 14:05,HUAWEI P40 Pro 5G,,,4612471888021713,,蓝V
