id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5014989004604438,O6hVOjjP8,2691938181,杜琳营养师,老年体重多少最适合？体质指数BMI，它是判断你是否为健康体重的指标。计算方法是：BMI=体重kg/身高㎡。老年人适合的BMI范围是：60—80岁，20—26.9，如果小于20，就属于消瘦状态。大于80岁的老人，22—26.9，如果小于22，也属于消瘦状态。#老年人健康##高龄老年人健康体重如何管理##老年人健康码实际使用现状#,,,,"老年人健康,高龄老年人健康体重如何管理,老年人健康码实际使用现状",0,0,0,2024-03-23 07:26,nova5i 2400万AI四摄,https://wx4.sinaimg.cn/large/a073b785ly1ho0kn5ji28j20h90cv0tq.jpg,,,,黄V
5003359484641369,O1powjtqN,2548303375,戏路很宽dhb,每天睡够五小时就醒了，我这是成老年人了么#老年人健康##关注老年人健康##高龄老年人健康体重如何管理#,,,,"老年人健康,关注老年人健康,高龄老年人健康体重如何管理",0,4,0,2024-02-20 05:15,华为Mate60RS非凡大师,,,,,普通用户
4967585009896047,Nsmc4FwpF,1882868694,上海热线,2023年8月《老年学杂志》发表的一项新研究发现，能把体重保持稳定的人，更有可能活到90岁。专家提醒，体重偏重一点的人比相对于体重偏轻的人更容易健康长寿，当然胖的程度需要有一个把握。因此建议从四五十岁的时候就要开始调整自己的饮食习惯、运动习惯，让自己的健康水准，甚至身体质量指数的水准往24左右靠。#体重稳定更长寿##保持体重稳定注意这几点##知识科普#健康科普超话#高龄老年人健康体重如何管理#O维持在这个体重指数，更有希望活到90岁？！,,,,"体重稳定更长寿,保持体重稳定注意这几点,知识科普,高龄老年人健康体重如何管理",0,0,0,2023-11-13 12:00,微博 weibo.com,,,,,蓝V
4963387255817266,NqAZvopkS,1882868694,上海热线,老年人要想有一个健康的身体，就应该将体重控制在合理范围内，但是如果没有刻意减肥却出现了体重减轻的情况，可能是健康状况出现问题的信号。保持体重稳定要做到饮食习惯稳定、运动稳定、生活乐观向上、不熬夜、作息时间规律等。@央视网#老年人突然瘦了可能是身体在报警##保持体重稳定注意这几点##高龄老年人健康体重如何管理##老年人理想体重为标准体重加10%#L央视网的微博视频,,,央视网,"老年人突然瘦了可能是身体在报警,保持体重稳定注意这几点,高龄老年人健康体重如何管理,老年人理想体重为标准体重加10%",0,0,0,2023-11-01 22:00,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/RbW3O5HQlx089E60K3BK01041200e6wU0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000588&ssig=3nf8dZiYzw&KID=unistore,video",,,蓝V
4959238475219662,NoR3VlTS6,7188462004,裕文13136688,上了年纪，骨质疏松，肌肉萎缩，体重过高或过低，都会对健康造成威胁，适度管理体重，能减轻骨骼肌肉的负担~#健康体重管理##高龄老年人健康体重如何管理##轻断食##老年人如何保护骨骼健康##只有老年人会得骨质疏松吗##周末休闲##荃福餐##福贝增裕文#,,,,"健康体重管理,高龄老年人健康体重如何管理,轻断食,老年人如何保护骨骼健康,只有老年人会得骨质疏松吗,周末休闲,荃福餐,福贝增裕文",0,0,0,2023-10-21 11:14,vivo S1照亮你的美,"https://wx3.sinaimg.cn/large/007Qu3lyly1hj2prwda7hj30u012wk3k.jpg,https://wx2.sinaimg.cn/large/007Qu3lyly1hj2prwtczmj30u012wgy5.jpg",,,,普通用户
4959222722987527,NoQEwcxbV,1064971952,紫色蒲公英-2,#每天3分钟家庭健康管理小课堂#数据显示，中国社区65岁以上老年人，营养不良和营养不良风险合并患病率为55%。多重因素夹击，导致家中的“老宝贝”负伤，正面临着更加严峻的营养不良风险。#高龄老年人健康体重如何管理##老年人保持牙齿健康到底有多重要##老年人健康##关爱老年人健康##安利#@新浪健康@北京青年报@央视新闻@安利@人民网@爱奇艺,,,"新浪健康,北京青年报,央视新闻,安利,人民网,爱奇艺","每天3分钟家庭健康管理小课堂,高龄老年人健康体重如何管理,老年人保持牙齿健康到底有多重要,老年人健康,关爱老年人健康,安利",0,0,1,2023-10-21 10:11,HUAWEI Mate 20 Pro,"https://wx4.sinaimg.cn/large/3f7a2eb0gy1hj2nygka0kj20u012wtft.jpg,https://wx2.sinaimg.cn/large/3f7a2eb0gy1hj2nygvefgj20u012wais.jpg",,,,普通用户
4948801649902073,NktykFxYR,2609576940,南铁赣州车务段,#赣车微视角#【#高龄老年人健康体重如何管理#？】#高龄老人应多久测一次身高体重#推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。L新华网的微博视频,,,,"赣车微视角,高龄老年人健康体重如何管理,高龄老人应多久测一次身高体重",0,0,2,2023-09-22 16:02,微博视频号,,"http://f.video.weibocdn.com/o0/vZbCUcpblx088HmbgZT2010412005lwh0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000588&ssig=Cd7eo1qSsS&KID=unistore,video",,,蓝V
4948376597561734,NkiuLvJ9s,3309826382,健康成都官微,#健康科普汇#【#高龄老年人健康体重如何管理#？】#高龄老人应多久测一次身高体重#？推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。（新华网）L新华网的微博视频,,,,"健康科普汇,高龄老年人健康体重如何管理,高龄老人应多久测一次身高体重",4,1,2,2023-09-21 11:53,微博视频号,,"http://f.video.weibocdn.com/o0/vZbCUcpblx088HmbgZT2010412005lwh0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000588&ssig=Cd7eo1qSsS&KID=unistore,video",,,
4948454528517445,NkkwszJM9,2872755342,健康双流,#高龄老年人健康体重如何管理#？,,,,高龄老年人健康体重如何管理,0,0,2,2023-09-21 17:02,微博网页版,,,4948376597561734,,蓝V
4948407905422191,NkjjgmKyH,2557736524,青白江住建,#健康科普汇#【#高龄老年人健康体重如何管理#？】#高龄老人应多久测一次身高体重#？推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。（新华网）L新华网的微博视频,,,,"健康科普汇,高龄老年人健康体重如何管理,高龄老人应多久测一次身高体重",1,0,0,2023-09-21 13:57,iPhone客户端,,"http://f.video.weibocdn.com/o0/vZbCUcpblx088HmbgZT2010412005lwh0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000588&ssig=Cd7eo1qSsS&KID=unistore,video",,,
