id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4950547578224683,NlcYlyvCb,2685256391,成都高性能纤维材料产业功能区,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-27 11:39,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,蓝V
4948155613319539,NkcKldVyX,3977973716,温江服务,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 21:14,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,蓝V
4948098121729870,NkbfC7g18,3423611660,青白江审计,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 17:26,iPhone客户端,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,蓝V
4948022263025231,Nk9hgcH03,6931893732,成都市场监管,#市场监管科普#【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓L成都发布的微博视频,,,,"市场监管科普,高龄老年人如何管理健康体重",1,2,1,2023-09-20 12:25,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,
4948091293929968,Nkb4BgumA,3239307817,蒲江市场监督管理,#市场监管科普#【#高龄老年人如何管理健康体重#？】,,,,"市场监管科普,高龄老年人如何管理健康体重",0,0,1,2023-09-20 16:59,微博网页版,,,4948022263025231,,蓝V
4948068198779896,NkatlAQ3e,2557736524,青白江住建,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,1,0,0,2023-09-20 15:27,iPhone客户端,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,
4948086323413695,NkaWAek3B,5629057710,陈可爱要陈住气,【#高龄老年人如何管理健康体重#？】,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 16:39,微博网页版,,,4948068198779896,,普通用户
4948064953437081,Nkao7eq8N,3001949950,成都住建,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 15:14,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,蓝V
4948000872600441,Nk8ILaUuB,3961603481,青羊服务,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009261&ssig=wsqrxpv3y9&KID=unistore,video",,,蓝V
4947990408073197,Nk8rSxScR,3972809759,青白江区水务局,【#高龄老年人如何管理健康体重#？】中国营养学会17日在四川省成都市发布《中国高龄老年人体质指数适宜范围与体重管理指南》，给出中国高龄老年人体质指数适宜范围和体重管理的指导建议。推荐中国高龄老年人BMI（体重与身高平方的比值）适宜范围为22.0至26.9，高龄老年人每年至少测量一次身高、每月至少测量两次体重……一起来看↓↓（来源：新华网）L成都发布的微博视频,,,,高龄老年人如何管理健康体重,0,0,0,2023-09-20 10:18,微博视频号,,"http://f.video.weibocdn.com/o0/6RVqZZR3lx088Ix9B3e0010412004VZV0E010.mp4?label=mp4_720p&template=608x1080.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009263&ssig=7QP5Oz1pPA&KID=unistore,video",,,蓝V
